outcome,normalize,event_time,actual,orig_p2.5,orig_p50,orig_p97.5,cf_p2.5,cf_p50,cf_p97.5,orig_gap_to_actual,cf_gap_to_actual,gap_closed_frac
pull_request_merged,TRUE,-5,0.1870219835141537,-0.24782496624636316,0.011343328717186197,0.2686369295351105,-0.17741914773895223,0.10647408448049253,0.34968616673015035,-0.1756786547969675,-0.08054789903366116,0.5415043499351092
pull_request_merged,TRUE,-4,0.1021229539157607,-0.25100081129531443,-0.0022873417443745464,0.24189593589087338,-0.23748972667758292,0.029807419142613957,0.2822901108314717,-0.10441029566013525,-0.07231553477314676,0.30739076720422076
pull_request_merged,TRUE,-3,0.1521580309163087,-0.2744204140061522,-0.008007470120368801,0.22764394480142014,-0.2612900150021743,0.004603110161214137,0.24769405634402294,-0.16016550103667748,-0.14755492075509455,0.078734685059894
pull_request_merged,TRUE,-2,0.257025024196906,-0.2597130566854329,-0.026697522385401528,0.23387859370183006,-0.23076143693355272,-5.091343997553118e-4,0.24915760715592183,-0.2837225465823075,-0.2575341585966613,0.0923028088571346
pull_request_merged,TRUE,-1,0,0,0,0,0,0,0,0,0,NA
pull_request_merged,TRUE,0,-0.03527986265332059,0.020801620372799284,0.38574176611290933,0.8074355989645803,0.010356377585672927,0.3845987720544637,0.8124592513707366,0.42102162876622995,0.4198786347077843,0.002714810784887889
pull_request_merged,TRUE,1,-0.44341659573180064,-1.34710602092035,-1.0989484962523766,-0.8597304819731424,-1.0783587419313487,-0.8310317278166678,-0.5679707455005019,-0.655531900520576,-0.38761513208486714,0.4087013434784008
pull_request_merged,TRUE,2,-0.4719540644319786,-1.3325665311523713,-1.095976980012582,-0.8415372647111915,-1.099735428777799,-0.8659831382156356,-0.6164188386870963,-0.6240229155806034,-0.3940290737836569,0.36856633955975093
pull_request_merged,TRUE,3,-0.4709407081085039,-1.3782666467522762,-1.0813047567769623,-0.8331040386115995,-1.1221405125765918,-0.852580876431607,-0.5780256063043027,-0.6103640486684583,-0.38164016832310305,0.3747335395070017
pull_request_merged,TRUE,4,-0.3623883621313202,-1.315242108863866,-1.0593878972682251,-0.801905499480668,-1.1331674081818937,-0.8605313587875248,-0.5776331468531434,-0.6969995351369049,-0.49814299665620465,0.28530368882045354
pull_request_merged,TRUE,5,-0.5207891317390139,-1.3304295236711383,-1.0532304604359806,-0.7620727064355846,-1.2368268124423634,-0.924328541547392,-0.6823909137056963,-0.5324413286969667,-0.4035394098083781,0.24209600559003897
pull_request_merged_after_review,TRUE,-5,0.029392957678160993,-0.24111248416795944,0.011963111672642617,0.2804640121440313,-0.15177916811076186,0.11592921649312943,0.3847334666158093,-0.017429846005518376,0.08653625881496843,5.9648320924677485
pull_request_merged_after_review,TRUE,-4,-0.10160562992765855,-0.2261745345683419,0.0012060472678920992,0.2586944611679226,-0.201269761716771,0.037815045224475013,0.3247935760984215,0.10281167719555065,0.13942067515213358,-0.3560782097441286
pull_request_merged_after_review,TRUE,-3,0.04361987847154607,-0.2680469986601116,-0.009292943071967827,0.21739285828834326,-0.27641545214659424,0.003162258822288544,0.24082011224271677,-0.05291282154351389,-0.04045761964925752,0.2353909984560848
pull_request_merged_after_review,TRUE,-2,0.19329945254036335,-0.26900350647120597,-0.022898206558512827,0.22988841908732968,-0.24455275665477444,0.011888276586238651,0.25369958294364564,-0.21619765909887617,-0.1814111759541247,0.1609012941663821
pull_request_merged_after_review,TRUE,-1,0,0,0,0,0,0,0,0,0,NA
pull_request_merged_after_review,TRUE,0,0.07411787583997662,-0.04577547414453888,0.33561499089803803,0.7152862241643465,-0.052577216620681606,0.3236670914363077,0.7292627733262629,0.2614971150580614,0.24954921559633106,0.04569036816745564
pull_request_merged_after_review,TRUE,1,-0.37898520387056095,-1.2257106656281418,-1.000305966700636,-0.7612546199182013,-0.8131993657378631,-0.569956472417462,-0.3188824876791992,-0.621320762830075,-0.190971268546901,0.6926365897108613
pull_request_merged_after_review,TRUE,2,-0.38220633526800457,-1.2425745364036542,-1.011684742430027,-0.7420114348756583,-0.894509871598774,-0.653819281663631,-0.38958771047483903,-0.6294784071620225,-0.27161294639562644,0.5685110985455686
pull_request_merged_after_review,TRUE,3,-0.26921363017957334,-1.2388165204922275,-0.9937867506639021,-0.752001369072652,-0.8868450088585627,-0.6055028831919033,-0.31558564882015516,-0.7245731204843288,-0.3362892530123299,0.5358794806139883
pull_request_merged_after_review,TRUE,4,-0.184605906027607,-1.2325290983617663,-0.9772760447224877,-0.7293633613609569,-0.9224486194413013,-0.6273658458249528,-0.31443594089449767,-0.7926701386948808,-0.44275993979734585,0.44143229549892815
pull_request_merged_after_review,TRUE,5,-0.46418018208017336,-1.2688681799723616,-0.9740936217629653,-0.718268015655003,-1.1006473843712963,-0.790452559087689,-0.5539265177170485,-0.509913439682792,-0.3262723770075156,0.3601416404900334
pull_request_merged,FALSE,-5,4.029446693258393,-3.448374497783221,0.029121711890292445,3.303308254952105,2.5605538142823967,5.790000846617399,8.741292332400658,-4.0003249813681006,1.7605541533590063,1.4401027820386987
pull_request_merged,FALSE,-4,2.4501527804495153,-3.011356090265804,-0.11716219567931144,2.5122638283655405,0.6212658266300637,3.463986767806772,5.963418706863668,-2.5673149761288268,1.0138339873572568,1.3949005076447554
pull_request_merged,FALSE,-3,2.041304672450769,-2.4425800371577413,-0.04707851618418044,2.3934518478993603,0.19180258073399714,2.5369734209562127,4.8286384810905405,-2.0883831886349493,0.4956687485054436,1.2373456898153985
pull_request_merged,FALSE,-2,1.8457223940230454,-2.4061655218229587,-0.14595075633516652,2.2058829756386347,-0.827036487854721,1.3593408618498655,3.605349129032924,-1.991673150358212,-0.4863815321731799,0.755792494322825
pull_request_merged,FALSE,-1,0,0,0,0,0,0,0,0,0,NA
pull_request_merged,FALSE,0,-1.8439789106740074,-1.944822406907011,0.3388954032832171,2.48888446366668,-2.4296448610857695,-0.2560383392698261,1.900979749191745,2.1828743139572246,1.5879405714041814,0.2725460365487179
pull_request_merged,FALSE,1,-2.2087166963915714,-6.742680516916899,-4.7898010616881805,-3.063916535150936,-7.619091430416335,-5.655399443687192,-4.194518196993957,-2.581084365296609,-3.4466827472956205,-0.33536229719462884
pull_request_merged,FALSE,2,-2.9446065199112446,-6.754487211307289,-4.859403822983693,-2.9035904900037925,-8.494505007712647,-6.591008729550469,-5.005595318837493,-1.9147973030724486,-3.646402209639225,-0.9043280475631936
pull_request_merged,FALSE,3,-2.5480371648064915,-6.5452796512274425,-4.476680372870157,-2.5089964771289663,-7.924729400397419,-5.950053375536978,-4.446244008499864,-1.9286432080636655,-3.4020162107304865,-0.7639427533857182
pull_request_merged,FALSE,4,-2.376801802774475,-6.49622331304821,-4.221957404328965,-2.1109410766144956,-7.871703150502354,-5.780005735688105,-4.057860650411987,-1.8451556015544899,-3.4032039329136303,-0.8443994262849865
pull_request_merged,FALSE,5,-0.9319395233748438,-6.770712253275293,-3.914401611791069,-1.701145423433584,-7.509653110823352,-5.286747169140947,-3.4430212328106187,-2.9824620884162254,-4.354807645766103,-0.46013847508071204
pull_request_merged_after_review,FALSE,-5,5.893203844976422,-1.7929529236435346,0.2901198362103885,2.232778765829834,3.974753845711895,6.036368088147487,7.814930024839198,-5.603084008766033,0.14316424317106513,1.0255509720980596
pull_request_merged_after_review,FALSE,-4,3.7929609794419914,-1.501851209867112,0.06720442877869433,1.6253651464092218,2.053160021185985,3.631721639501575,5.075903037781346,-3.7257565506632973,-0.1612393399404164,0.95672306074005
pull_request_merged_after_review,FALSE,-3,3.149033454507864,-1.3910044083977888,0.013128109213949218,1.5235375038795733,1.2062762980368984,2.567882173428372,3.943330151098649,-3.135905345293915,-0.5811512810794919,0.8146783091040578
pull_request_merged_after_review,FALSE,-2,1.9181113378546237,-1.366683983321857,-0.034586397435929755,1.4559250444108809,0.20395870759664947,1.4560678138784235,2.8458122305891322,-1.9526977352905535,-0.4620435239762002,0.763381953271201
pull_request_merged_after_review,FALSE,-1,0,0,0,0,0,0,0,0,0,NA
pull_request_merged_after_review,FALSE,0,-2.3711386731658104,-1.150897618756833,0.18042009063711958,1.498508199224709,-1.631109117231961,-0.4074819019308716,0.8102768818290131,2.55155876380293,1.9636567712349389,0.23040895663784822
pull_request_merged_after_review,FALSE,1,-3.408979654549617,-3.9304858288871523,-2.7941189827206316,-1.792466670961384,-4.733341670708709,-3.6810059765964143,-2.8559254937268004,0.6148606718289855,-0.2720263220467971,1.4424194529105567
pull_request_merged_after_review,FALSE,2,-4.237579357666851,-3.961350937772429,-2.800894223480403,-1.6489494317141076,-5.723884488897731,-4.5824891674156465,-3.766264497705376,1.436685134186448,-0.3449098097487955,1.2400733476957062
pull_request_merged_after_review,FALSE,3,-4.067960357172031,-3.9924503233520365,-2.583323312635902,-1.3468597400726328,-5.243901875723106,-4.071026952285898,-3.2552155743379165,1.4846370445361288,-0.0030665951138670877,1.002065552065505
pull_request_merged_after_review,FALSE,4,-3.689352407312213,-3.9755520274579252,-2.4814340558420938,-1.167452952644624,-5.2036949763527005,-4.03676631601387,-3.1945060376031016,1.207918351470119,-0.34741390870165745,1.2876137350499155
pull_request_merged_after_review,FALSE,5,-2.3032069347738773,-4.063859247955203,-2.3109505109825164,-0.9269843498610524,-4.826434449876747,-3.635552332411055,-2.642923250097934,-0.00774357620863908,-1.3323453976371775,-171.05815010263
