rolling,category,outcome,normalize,method,covar,split_value,event_time,estimation_type,estimate,sd,ci_low,ci_high,dataset
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-14,observed,-1.76199590274352,0.774172816945918,-3.27937462395752,-0.244617181529519,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-13,observed,2.29430607438472,1.10858706785753,0.121475421383965,4.46713672738548,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-12,observed,0.82210096224853,0.577220255376804,-0.309250738290007,1.95345266278707,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-11,observed,1.03572283885037,0.638814330215389,-0.21635324837179,2.28779892607254,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-10,observed,0.994041915088667,0.613697772545124,-0.208805719099776,2.19688954927711,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-9,observed,1.66839636990442,0.870075476926284,-0.0369515648710947,3.37374430467994,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-8,observed,1.62394830631484,0.593090724940884,0.461490485430702,2.78640612719897,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-7,observed,1.23929294657735,0.539849836017778,0.181187267982501,2.29739862517219,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-6,observed,0.826433193403549,0.384865777275897,0.0720962699427902,1.58077011686431,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-5,observed,0.192936047353825,0.200940269640025,-0.200906881140625,0.586778975848275,
rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,1,-4,observed,0.188255430654291,0.202084551244156,-0.207830289784255,0.584341151092837,
