File:  output/analysis/event_study/important_thresh_oneQual/rolling5/all_coefficients_rolling5.csv 
MD5:   4bbce24ce6c044857bab2bcd1b6df48f 
Key:   dataset rolling category outcome normalize method covar split_value event_time 
 
 ================================================================= 
 variable_name   type      N   uniqueN  mean   sd     min    max   
 ----------------------------------------------------------------- 
 dataset       character 9,248    1                                
 rolling       character 9,248    1                                
 category      character 9,248    2                                
 outcome       character 9,248    4                                
 normalize      logical  9,248    1                                
 method        character 9,248    2                                
 covar         character 9,248   38                                
 split_value   character 9,248    3                                
 event_time     numeric  9,248         -2.997 8.961   -18     13   
 estimate       numeric  9,248         -0.208 0.824 -5.015  6.635  
 sd             numeric  9,248         0.292  0.334    0    6.014  
 ci_low         numeric  9,248         -0.784 0.965 -15.790 6.233  
 ci_high        numeric  9,248         0.367  1.140 -4.676  18.058 
 ----------------------------------------------------------------- 
