File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/i2mint___dol.parquet

MD5 hash: d5de03f309f98800d4ffb4b56be4974e

Keys: time_period 

                                                     type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                                datetime64[ns]      1  2023-07-01 00:00:00  2023-07-01 00:00:00  2023-07-01 00:00:00  2023-07-01 00:00:00  2023-07-01 00:00:00  2023-07-01 00:00:00    
avg_members_per_problem                           float64      1                  1.5                  1.5                  1.5                  1.5                  1.5                  1.5    
pct_members_multiple                              float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_discussion_comment                       float64      1              0.59375              0.59375              0.59375              0.59375              0.59375              0.59375    
proj_hhi_pull_request_closed                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_comment                     float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_merged                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened                      float64      1                0.625                0.625                0.625                0.625                0.625                0.625    
proj_hhi_pull_request_review                      float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_review_comment              float64      1             0.722222             0.722222             0.722222             0.722222             0.722222             0.722222    
proj_prob_hhi_discussion_comment                  float64      1             0.666667             0.666667             0.666667             0.666667             0.666667             0.666667    
proj_prob_hhi_pull_request_comment                float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_prob_hhi_pull_request_review                 float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_prob_hhi_pull_request_review_comment         float64      1             0.722222             0.722222             0.722222             0.722222             0.722222             0.722222    
num_active_members                                  Int64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0    

