File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/relevanceai___vectorhub.parquet

MD5 hash: a7fe1c0c3402aced14ddcdca3597f867

Keys: time_period 

                                                     type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                                datetime64[ns]      1  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00    
avg_members_per_problem                           float64      1             1.542857             1.542857             1.542857             1.542857             1.542857             1.542857    
pct_members_multiple                              float64      1             0.542857             0.542857             0.542857             0.542857             0.542857             0.542857    
proj_hhi_discussion_comment                       float64      1             0.418685             0.418685             0.418685             0.418685             0.418685             0.418685    
proj_hhi_pull_request_closed                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_comment                     float64      1                 0.54                 0.54                 0.54                 0.54                 0.54                 0.54    
proj_hhi_pull_request_merged                      float64      1             0.504683             0.504683             0.504683             0.504683             0.504683             0.504683    
proj_hhi_pull_request_opened                      float64      1              0.71875              0.71875              0.71875              0.71875              0.71875              0.71875    
proj_hhi_pull_request_review                      float64      1              0.53125              0.53125              0.53125              0.53125              0.53125              0.53125    
proj_hhi_pull_request_review_comment              float64      1             0.591837             0.591837             0.591837             0.591837             0.591837             0.591837    
proj_prob_hhi_discussion_comment                  float64      1             0.705882             0.705882             0.705882             0.705882             0.705882             0.705882    
proj_prob_hhi_pull_request_comment                float64      1                  0.7                  0.7                  0.7                  0.7                  0.7                  0.7    
proj_prob_hhi_pull_request_review                 float64      1                 0.75                 0.75                 0.75                 0.75                 0.75                 0.75    
proj_prob_hhi_pull_request_review_comment         float64      1             0.714286             0.714286             0.714286             0.714286             0.714286             0.714286    
num_active_members                                  Int64      1                  5.0                  5.0                  5.0                  5.0                  5.0                  5.0    

