File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/grauwoelfchen___flask-dotenv.parquet

MD5 hash: f4d94358c1871a391505cf7a58a8813e

Keys: time_period 

                                              type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                         datetime64[ns]      1  2016-01-01 00:00:00  2016-01-01 00:00:00  2016-01-01 00:00:00  2016-01-01 00:00:00  2016-01-01 00:00:00  2016-01-01 00:00:00    
avg_members_per_problem                    float64      1             1.555556             1.555556             1.555556             1.555556             1.555556             1.555556    
pct_members_multiple                       float64      1             0.555556             0.555556             0.555556             0.555556             0.555556             0.555556    
proj_hhi_discussion_comment                float64      1             0.708333             0.708333             0.708333             0.708333             0.708333             0.708333    
proj_hhi_issue_closed                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_issue_comment                     float64      1             0.722222             0.722222             0.722222             0.722222             0.722222             0.722222    
proj_hhi_issue_opened                      float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_comment              float64      1             0.722222             0.722222             0.722222             0.722222             0.722222             0.722222    
proj_hhi_pull_request_merged               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened               float64      1             0.388889             0.388889             0.388889             0.388889             0.388889             0.388889    
proj_prob_hhi_discussion_comment           float64      1             0.763889             0.763889             0.763889             0.763889             0.763889             0.763889    
proj_prob_hhi_issue_comment                float64      1                 0.75                 0.75                 0.75                 0.75                 0.75                 0.75    
proj_prob_hhi_pull_request_comment         float64      1             0.777778             0.777778             0.777778             0.777778             0.777778             0.777778    
num_active_members                           Int64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0    

