File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/phenobarbital___navigator-auth.parquet

MD5 hash: fc6fd1a0eb1292c9104a9fe43d221328

Keys: time_period 

                                             type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                        datetime64[ns]      1  2023-01-01 00:00:00  2023-01-01 00:00:00  2023-01-01 00:00:00  2023-01-01 00:00:00  2023-01-01 00:00:00  2023-01-01 00:00:00    
avg_members_per_problem                   float64      1                  1.2                  1.2                  1.2                  1.2                  1.2                  1.2    
pct_members_multiple                      float64      1             0.181818             0.181818             0.181818             0.181818             0.181818             0.181818    
proj_hhi_pull_request_closed              float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_merged              float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened              float64      1             0.591837             0.591837             0.591837             0.591837             0.591837             0.591837    
proj_hhi_pull_request_review              float64      1             0.702479             0.702479             0.702479             0.702479             0.702479             0.702479    
proj_prob_hhi_pull_request_review         float64      1             0.878788             0.878788             0.878788             0.878788             0.878788             0.878788    
num_active_members                          Int64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0    

