File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/ionite34___einspect.parquet

MD5 hash: 9e1d3535d7e5e4a54f99cddd53073666

Keys: time_period 

                                              type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                         datetime64[ns]      1  2023-01-01 00:00:00  2023-01-01 00:00:00  2023-01-01 00:00:00  2023-01-01 00:00:00  2023-01-01 00:00:00  2023-01-01 00:00:00    
avg_members_per_problem                    float64      1             1.014085             1.014085             1.014085             1.014085             1.014085             1.014085    
pct_members_multiple                       float64      1             0.014085             0.014085             0.014085             0.014085             0.014085             0.014085    
proj_hhi_discussion_comment                float64      1             0.701485             0.701485             0.701485             0.701485             0.701485             0.701485    
proj_hhi_issue_closed                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_issue_comment                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_issue_opened                      float64      1             0.755102             0.755102             0.755102             0.755102             0.755102             0.755102    
proj_hhi_pull_request_closed               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_comment              float64      1             0.714215             0.714215             0.714215             0.714215             0.714215             0.714215    
proj_hhi_pull_request_merged               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened               float64      1             0.424466             0.424466             0.424466             0.424466             0.424466             0.424466    
proj_prob_hhi_discussion_comment           float64      1             0.828829             0.828829             0.828829             0.828829             0.828829             0.828829    
proj_prob_hhi_issue_comment                float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_pull_request_comment         float64      1             0.827273             0.827273             0.827273             0.827273             0.827273             0.827273    
num_active_members                           Int64      1                  5.0                  5.0                  5.0                  5.0                  5.0                  5.0    

