File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/razorhash___pyfmpcloud.parquet

MD5 hash: 049dfa53718a60980a18c83b6a0f02a4

Keys: time_period 

                                                     type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                                datetime64[ns]      1  2020-01-01 00:00:00  2020-01-01 00:00:00  2020-01-01 00:00:00  2020-01-01 00:00:00  2020-01-01 00:00:00  2020-01-01 00:00:00    
avg_members_per_problem                           float64      1             1.818182             1.818182             1.818182             1.818182             1.818182             1.818182    
pct_members_multiple                              float64      1             0.818182             0.818182             0.818182             0.818182             0.818182             0.818182    
proj_hhi_discussion_comment                       float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_issue_closed                             float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_issue_comment                            float64      1             0.480969             0.480969             0.480969             0.480969             0.480969             0.480969    
proj_hhi_issue_opened                             float64      1               0.3125               0.3125               0.3125               0.3125               0.3125               0.3125    
proj_hhi_pull_request_closed                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_merged                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_review_comment              float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_discussion_comment                  float64      1             0.644444             0.644444             0.644444             0.644444             0.644444             0.644444    
proj_prob_hhi_issue_comment                       float64      1             0.623529             0.623529             0.623529             0.623529             0.623529             0.623529    
proj_prob_hhi_pull_request_review_comment         float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
num_active_members                                  Int64      1                  5.0                  5.0                  5.0                  5.0                  5.0                  5.0    

