,time_period,repo_name,group,treatment_group,time_index,treatment,pr_opener,commits,issue_number,issue_comments
40,2016-07-01,mitmproxy/mitmproxy,Other_Uncooperative,6.0,4.0,0,351.0,1010.0,480.0,735.0
41,2016-07-01,numba/llvmlite,Other_Cooperative,5.0,4.0,0,20.0,31.0,26.0,46.0
42,2016-07-01,qiniu/python-sdk,Other_Uncooperative,8.0,4.0,0,13.0,26.0,50.0,75.0
43,2016-07-01,saltstack/salt-testing,Other_Cooperative,5.0,4.0,0,7.0,55.0,0.0,0.0
44,2016-07-01,sbg/sevenbridges-python,Other_Uncooperative,7.0,4.0,0,8.0,13.0,28.0,34.0
45,2016-07-01,sunscrapers/djoser,Other_Uncooperative,8.0,4.0,0,9.0,17.0,22.0,29.0
46,2016-07-01,translate/translate,Other_Cooperative,6.0,4.0,0,34.0,104.0,31.0,47.0
47,2016-07-01,tweepy/tweepy,Other_Cooperative,7.0,4.0,0,8.0,10.0,110.0,137.0
48,2016-07-01,vmware/pyvcloud,Other_Cooperative,8.0,4.0,0,2.0,2.0,1.0,1.0
49,2017-01-01,CybOXProject/python-cybox,Other_Uncooperative,8.0,5.0,0,2.0,2.0,8.0,17.0
50,2017-01-01,WattTime/pyiso,Other_Uncooperative,5.0,5.0,1,0.0,3.0,3.0,4.0
51,2017-01-01,appknox/vendor,Other_Cooperative,7.0,5.0,0,20.0,57.0,0.0,0.0
52,2017-01-01,autoprotocol/autoprotocol-python,Other_Uncooperative,5.0,5.0,1,2.0,6.0,0.0,0.0
53,2017-01-01,boto/boto3,Other_Uncooperative,9.0,5.0,0,21.0,40.0,518.0,644.0
54,2017-01-01,boto/botocore,Other_Uncooperative,9.0,5.0,0,52.0,130.0,115.0,136.0
55,2017-01-01,celery/billiard,Other_Cooperative,5.0,5.0,1,0.0,0.0,5.0,5.0
56,2017-01-01,charlesthk/python-mailchimp,Other_Cooperative,8.0,5.0,0,8.0,16.0,19.0,26.0
57,2017-01-01,cloudendpoints/endpoints-management-python,Other_Uncooperative,9.0,5.0,0,7.0,15.0,1.0,1.0
58,2017-01-01,codecov/codecov-python,Other_Uncooperative,8.0,5.0,0,7.0,7.0,19.0,22.0
59,2017-01-01,douban/pymesos,Other_Cooperative,8.0,5.0,0,5.0,5.0,8.0,20.0
60,2017-01-01,inspirehep/hepcrawl,Other_Cooperative,8.0,5.0,0,29.0,72.0,16.0,29.0
61,2017-01-01,irods/python-irodsclient,Other_Cooperative,8.0,5.0,0,6.0,15.0,25.0,56.0
62,2017-01-01,kelproject/pykube,Other_Cooperative,7.0,5.0,0,5.0,7.0,23.0,27.0
63,2017-01-01,lektor/lektor,Other_Cooperative,6.0,5.0,0,9.0,20.0,71.0,134.0
64,2017-01-01,mitmproxy/mitmproxy,Other_Uncooperative,6.0,5.0,0,310.0,690.0,485.0,780.0
65,2017-01-01,numba/llvmlite,Other_Cooperative,5.0,5.0,1,29.0,65.0,27.0,53.0
66,2017-01-01,qiniu/python-sdk,Other_Uncooperative,8.0,5.0,0,8.0,13.0,21.0,24.0
67,2017-01-01,saltstack/salt-testing,Other_Cooperative,5.0,5.0,1,5.0,47.0,1.0,3.0
68,2017-01-01,sbg/sevenbridges-python,Other_Uncooperative,7.0,5.0,0,3.0,5.0,5.0,5.0
69,2017-01-01,secure-systems-lab/securesystemslib,Other_Cooperative,8.0,5.0,0,5.0,5.0,1.0,6.0
70,2017-01-01,sunscrapers/djoser,Other_Uncooperative,8.0,5.0,0,3.0,10.0,32.0,39.0
71,2017-01-01,tariqdaouda/pyArango,Other_Cooperative,9.0,5.0,0,9.0,9.0,7.0,12.0
72,2017-01-01,translate/translate,Other_Cooperative,6.0,5.0,0,67.0,131.0,33.0,48.0
73,2017-01-01,tweepy/tweepy,Other_Cooperative,7.0,5.0,0,12.0,12.0,103.0,113.0
74,2017-01-01,ultrabug/py3status,Other_Cooperative,9.0,5.0,0,168.0,375.0,92.0,190.0
75,2017-01-01,vmware/pyvcloud,Other_Cooperative,8.0,5.0,0,4.0,4.0,0.0,0.0
76,2017-07-01,CybOXProject/python-cybox,Other_Uncooperative,8.0,6.0,0,4.0,4.0,11.0,14.0
77,2017-07-01,Parsely/pykafka,Other_Cooperative,10.0,6.0,0,5.0,10.0,44.0,57.0
78,2017-07-01,WattTime/pyiso,Other_Uncooperative,5.0,6.0,1,56.0,69.0,13.0,16.0
79,2017-07-01,appknox/vendor,Other_Cooperative,7.0,6.0,0,9.0,20.0,1.0,1.0
80,2017-07-01,autoprotocol/autoprotocol-python,Other_Uncooperative,5.0,6.0,1,2.0,6.0,0.0,0.0
81,2017-07-01,boto/boto3,Other_Uncooperative,9.0,6.0,0,16.0,25.0,546.0,708.0
82,2017-07-01,boto/botocore,Other_Uncooperative,9.0,6.0,0,48.0,130.0,118.0,149.0
83,2017-07-01,celery/billiard,Other_Cooperative,5.0,6.0,1,0.0,1.0,23.0,30.0
84,2017-07-01,charlesthk/python-mailchimp,Other_Cooperative,8.0,6.0,0,2.0,3.0,22.0,26.0
85,2017-07-01,cloudendpoints/endpoints-management-python,Other_Uncooperative,9.0,6.0,0,4.0,12.0,1.0,1.0
86,2017-07-01,codecov/codecov-python,Other_Uncooperative,8.0,6.0,0,9.0,9.0,7.0,11.0
87,2017-07-01,douban/pymesos,Other_Cooperative,8.0,6.0,0,0.0,0.0,3.0,4.0
88,2017-07-01,inspirehep/hepcrawl,Other_Cooperative,8.0,6.0,0,12.0,36.0,30.0,41.0
89,2017-07-01,irods/python-irodsclient,Other_Cooperative,8.0,6.0,0,6.0,10.0,18.0,31.0
90,2017-07-01,kelproject/pykube,Other_Cooperative,7.0,6.0,0,0.0,0.0,5.0,5.0
91,2017-07-01,lektor/lektor,Other_Cooperative,6.0,6.0,1,9.0,46.0,85.0,152.0
92,2017-07-01,matrix-org/matrix-python-sdk,Other_Cooperative,10.0,6.0,0,9.0,34.0,20.0,25.0
93,2017-07-01,mitmproxy/mitmproxy,Other_Uncooperative,6.0,6.0,1,122.0,217.0,197.0,305.0
94,2017-07-01,numba/llvmlite,Other_Cooperative,5.0,6.0,1,21.0,38.0,20.0,32.0
95,2017-07-01,opentracing/opentracing-python,Other_Cooperative,10.0,6.0,0,4.0,9.0,3.0,4.0
96,2017-07-01,pyca/pynacl,Other_Cooperative,10.0,6.0,0,13.0,19.0,39.0,59.0
97,2017-07-01,qiniu/python-sdk,Other_Uncooperative,8.0,6.0,0,6.0,6.0,7.0,8.0
98,2017-07-01,sbg/sevenbridges-python,Other_Uncooperative,7.0,6.0,0,5.0,39.0,4.0,5.0
99,2017-07-01,secure-systems-lab/securesystemslib,Other_Cooperative,8.0,6.0,0,1.0,2.0,7.0,14.0
100,2017-07-01,sunscrapers/djoser,Other_Uncooperative,8.0,6.0,0,8.0,11.0,32.0,41.0
101,2017-07-01,tariqdaouda/pyArango,Other_Cooperative,9.0,6.0,0,3.0,3.0,8.0,12.0
102,2017-07-01,tmux-python/libtmux,Other_Uncooperative,10.0,6.0,0,0.0,5.0,0.0,0.0
103,2017-07-01,translate/translate,Other_Cooperative,6.0,6.0,1,77.0,203.0,16.0,19.0
104,2017-07-01,tweepy/tweepy,Other_Cooperative,7.0,6.0,0,8.0,10.0,119.0,143.0
105,2017-07-01,ultrabug/py3status,Other_Cooperative,9.0,6.0,0,103.0,268.0,98.0,224.0
106,2017-07-01,vmware/pyvcloud,Other_Cooperative,8.0,6.0,0,22.0,44.0,1.0,1.0
107,2018-01-01,CybOXProject/python-cybox,Other_Uncooperative,8.0,7.0,0,5.0,6.0,4.0,10.0
108,2018-01-01,Parsely/pykafka,Other_Cooperative,10.0,7.0,0,9.0,10.0,30.0,43.0
109,2018-01-01,WattTime/pyiso,Other_Uncooperative,5.0,7.0,1,2.0,2.0,0.0,0.0
110,2018-01-01,appknox/vendor,Other_Cooperative,7.0,7.0,1,12.0,75.0,0.0,0.0
111,2018-01-01,astropy/regions,Other_Cooperative,11.0,7.0,0,23.0,47.0,16.0,25.0
112,2018-01-01,autoprotocol/autoprotocol-python,Other_Uncooperative,5.0,7.0,1,1.0,2.0,0.0,0.0
113,2018-01-01,awslabs/aws-config-rdk,Other_Uncooperative,11.0,7.0,0,3.0,3.0,4.0,5.0
114,2018-01-01,boto/boto3,Other_Uncooperative,9.0,7.0,0,8.0,28.0,495.0,586.0
115,2018-01-01,boto/botocore,Other_Uncooperative,9.0,7.0,0,47.0,107.0,136.0,182.0
116,2018-01-01,celery/billiard,Other_Cooperative,5.0,7.0,1,0.0,0.0,10.0,15.0
117,2018-01-01,charlesthk/python-mailchimp,Other_Cooperative,8.0,7.0,0,2.0,8.0,18.0,21.0
118,2018-01-01,cloudendpoints/endpoints-management-python,Other_Uncooperative,9.0,7.0,0,0.0,1.0,3.0,4.0
119,2018-01-01,codecov/codecov-python,Other_Uncooperative,8.0,7.0,0,4.0,4.0,16.0,27.0
120,2018-01-01,conan-io/conan-package-tools,Other_Cooperative,11.0,7.0,0,16.0,20.0,65.0,126.0
121,2018-01-01,danieliu/play-scraper,Other_Uncooperative,11.0,7.0,0,0.0,0.0,1.0,1.0
122,2018-01-01,douban/pymesos,Other_Cooperative,8.0,7.0,0,7.0,14.0,1.0,1.0
123,2018-01-01,fastai/fastai,Other_Uncooperative,11.0,7.0,0,204.0,249.0,222.0,283.0
124,2018-01-01,getlogbook/logbook,Other_Cooperative,11.0,7.0,0,3.0,3.0,13.0,14.0
125,2018-01-01,honeycombio/libhoney-py,Other_Uncooperative,11.0,7.0,0,7.0,19.0,5.0,6.0
126,2018-01-01,ibmdb/python-ibmdbsa,Other_Cooperative,11.0,7.0,0,1.0,4.0,10.0,18.0
127,2018-01-01,inspirehep/hepcrawl,Other_Cooperative,8.0,7.0,0,29.0,74.0,1.0,1.0
128,2018-01-01,irods/python-irodsclient,Other_Cooperative,8.0,7.0,0,7.0,20.0,37.0,71.0
129,2018-01-01,keras-team/keras-preprocessing,Other_Cooperative,11.0,7.0,0,7.0,21.0,4.0,4.0
130,2018-01-01,lektor/lektor,Other_Cooperative,6.0,7.0,1,11.0,34.0,56.0,85.0
131,2018-01-01,matrix-org/matrix-python-sdk,Other_Cooperative,10.0,7.0,0,16.0,60.0,33.0,57.0
132,2018-01-01,mitmproxy/mitmproxy,Other_Uncooperative,6.0,7.0,1,105.0,342.0,278.0,455.0
133,2018-01-01,numba/llvmlite,Other_Cooperative,5.0,7.0,1,14.0,35.0,20.0,35.0
134,2018-01-01,opentracing/opentracing-python,Other_Cooperative,10.0,7.0,0,3.0,6.0,16.0,38.0
135,2018-01-01,pyca/pynacl,Other_Cooperative,10.0,7.0,0,11.0,21.0,27.0,47.0
136,2018-01-01,qiniu/python-sdk,Other_Uncooperative,8.0,7.0,0,2.0,3.0,4.0,5.0
137,2018-01-01,sbg/sevenbridges-python,Other_Uncooperative,7.0,7.0,1,2.0,34.0,3.0,5.0
138,2018-01-01,secure-systems-lab/securesystemslib,Other_Cooperative,8.0,7.0,0,4.0,7.0,3.0,4.0
139,2018-01-01,square/connect-python-sdk,Other_Uncooperative,11.0,7.0,0,0.0,9.0,4.0,4.0
140,2018-01-01,statsmodels/statsmodels,Other_Cooperative,11.0,7.0,0,120.0,329.0,530.0,1059.0
141,2018-01-01,sunscrapers/djoser,Other_Uncooperative,8.0,7.0,0,0.0,2.0,13.0,15.0
142,2018-01-01,tariqdaouda/pyArango,Other_Cooperative,9.0,7.0,0,7.0,16.0,4.0,5.0
143,2018-01-01,tmux-python/libtmux,Other_Uncooperative,10.0,7.0,0,2.0,55.0,1.0,2.0
144,2018-01-01,translate/translate,Other_Cooperative,6.0,7.0,1,42.0,186.0,19.0,24.0
145,2018-01-01,tweepy/tweepy,Other_Cooperative,7.0,7.0,1,3.0,27.0,26.0,42.0
146,2018-01-01,ultrabug/py3status,Other_Cooperative,9.0,7.0,0,78.0,220.0,88.0,179.0
147,2018-01-01,vmware/pyvcloud,Other_Cooperative,8.0,7.0,0,32.0,80.0,38.0,54.0
148,2018-01-01,webrecorder/pywb,Other_Cooperative,11.0,7.0,0,29.0,89.0,50.0,75.0
149,2018-07-01,CartoDB/carto-python,Other_Cooperative,12.0,8.0,0,2.0,8.0,18.0,36.0
150,2018-07-01,Parsely/pykafka,Other_Cooperative,10.0,8.0,0,2.0,27.0,31.0,46.0
151,2018-07-01,WattTime/pyiso,Other_Uncooperative,5.0,8.0,1,1.0,1.0,0.0,0.0
152,2018-07-01,aiven/aiven-client,Other_Uncooperative,12.0,8.0,0,9.0,21.0,3.0,5.0
153,2018-07-01,appknox/vendor,Other_Cooperative,7.0,8.0,1,7.0,41.0,0.0,0.0
154,2018-07-01,arose/nglview,Other_Uncooperative,12.0,8.0,0,2.0,2.0,25.0,59.0
155,2018-07-01,astropy/regions,Other_Cooperative,11.0,8.0,0,19.0,70.0,19.0,30.0
156,2018-07-01,autoprotocol/autoprotocol-python,Other_Uncooperative,5.0,8.0,1,20.0,39.0,0.0,0.0
157,2018-07-01,awslabs/aws-config-rdk,Other_Uncooperative,11.0,8.0,0,4.0,6.0,21.0,25.0
158,2018-07-01,boto/boto3,Other_Uncooperative,9.0,8.0,0,17.0,136.0,508.0,636.0
159,2018-07-01,boto/botocore,Other_Uncooperative,9.0,8.0,0,62.0,346.0,141.0,172.0
160,2018-07-01,celery/billiard,Other_Cooperative,5.0,8.0,1,0.0,3.0,6.0,10.0
161,2018-07-01,charlesthk/python-mailchimp,Other_Cooperative,8.0,8.0,1,2.0,5.0,3.0,4.0
162,2018-07-01,cloudbase/PyMI,Other_Uncooperative,12.0,8.0,0,0.0,0.0,3.0,3.0
163,2018-07-01,cloudendpoints/endpoints-management-python,Other_Uncooperative,9.0,8.0,0,0.0,0.0,3.0,3.0
164,2018-07-01,codecov/codecov-python,Other_Uncooperative,8.0,8.0,1,0.0,0.0,4.0,4.0
165,2018-07-01,conan-io/conan-package-tools,Other_Cooperative,11.0,8.0,0,5.0,15.0,58.0,105.0
