,repo_name,had_common_issue,time_index,treatment_group,pct_coop_comments_bin_2,pr_opener,commits,issue_number,issue_comments,contributors
37,CenturyLinkCloud/clc-python-sdk,True,2,4.0,0.0,4.0,30.0,1.0,1.0,2
38,CenturyLinkCloud/clc-python-sdk,True,3,4.0,0.0,6.0,18.0,1.0,1.0,3
39,CenturyLinkCloud/clc-python-sdk,True,4,4.0,0.0,0.0,0.0,1.0,1.0,1
40,City-of-Helsinki/django-helusers,False,9,12.0,0.0,0.0,1.0,1.0,2.0,1
41,City-of-Helsinki/django-helusers,False,11,12.0,0.0,6.0,8.0,0.0,0.0,1
42,City-of-Helsinki/django-helusers,False,12,12.0,0.0,4.0,13.0,1.0,1.0,1
43,City-of-Helsinki/django-helusers,False,13,12.0,0.0,0.0,0.0,0.0,0.0,1
44,City-of-Helsinki/django-helusers,False,15,12.0,0.0,0.0,0.0,0.0,0.0,1
45,City-of-Helsinki/django-helusers,True,8,12.0,0.0,0.0,3.0,0.0,0.0,1
46,City-of-Helsinki/django-helusers,True,9,12.0,0.0,0.0,8.0,0.0,0.0,1
47,City-of-Helsinki/django-helusers,True,10,12.0,0.0,1.0,11.0,1.0,1.0,1
48,City-of-Helsinki/django-helusers,True,11,12.0,0.0,3.0,12.0,0.0,0.0,2
49,ClearcodeHQ/mirakuru,False,10,14.0,1.0,1.0,4.0,0.0,0.0,1
50,ClearcodeHQ/mirakuru,False,11,14.0,1.0,3.0,3.0,3.0,3.0,4
51,ClearcodeHQ/mirakuru,False,12,14.0,1.0,0.0,0.0,0.0,0.0,1
52,ClearcodeHQ/mirakuru,False,13,14.0,1.0,2.0,2.0,0.0,0.0,2
53,ClearcodeHQ/mirakuru,False,14,14.0,1.0,0.0,0.0,1.0,1.0,1
54,ClearcodeHQ/mirakuru,False,15,14.0,1.0,0.0,0.0,0.0,0.0,1
55,ClearcodeHQ/mirakuru,False,16,14.0,1.0,0.0,0.0,0.0,0.0,1
56,ClearcodeHQ/mirakuru,False,17,14.0,1.0,0.0,0.0,0.0,0.0,1
57,ClearcodeHQ/mirakuru,True,10,14.0,1.0,40.0,95.0,2.0,2.0,3
58,ClearcodeHQ/mirakuru,True,11,14.0,1.0,22.0,54.0,3.0,5.0,3
59,ClearcodeHQ/mirakuru,True,12,14.0,1.0,22.0,45.0,0.0,0.0,3
60,ClearcodeHQ/mirakuru,True,13,14.0,1.0,24.0,64.0,2.0,2.0,3
61,ClearcodeHQ/mirakuru,True,14,14.0,1.0,0.0,7.0,0.0,0.0,1
62,ClearcodeHQ/mirakuru,True,15,14.0,1.0,1.0,4.0,0.0,0.0,1
63,ClearcodeHQ/mirakuru,True,16,14.0,1.0,0.0,2.0,1.0,1.0,1
64,ClearcodeHQ/mirakuru,True,17,14.0,1.0,6.0,24.0,1.0,2.0,1
65,ClearcodeHQ/pytest-postgresql,False,10,14.0,1.0,1.0,1.0,7.0,10.0,6
66,ClearcodeHQ/pytest-postgresql,False,11,14.0,1.0,6.0,10.0,3.0,3.0,5
67,ClearcodeHQ/pytest-postgresql,False,12,14.0,1.0,4.0,4.0,12.0,16.0,16
68,ClearcodeHQ/pytest-postgresql,False,13,14.0,1.0,12.0,22.0,15.0,18.0,20
69,ClearcodeHQ/pytest-postgresql,False,14,14.0,1.0,0.0,5.0,6.0,6.0,4
70,ClearcodeHQ/pytest-postgresql,False,15,14.0,1.0,1.0,1.0,2.0,2.0,2
71,ClearcodeHQ/pytest-postgresql,False,16,14.0,1.0,0.0,0.0,0.0,0.0,1
