File: drive/output/derived/org_outcomes_practices/repo_discussion_quality/all/rolling5/miccoli___pyownet.parquet

MD5 hash: 88ec49db0bc1144941415386fb88d866

Keys: time_period 

                                                                type  count                 mean                  min                  25%                  50%                  75%                  max  std
time_period                                           datetime64[ns]      5  2016-12-31 04:48:00  2016-01-01 00:00:00  2016-07-01 00:00:00  2017-01-01 00:00:00  2017-07-01 00:00:00  2018-01-01 00:00:00     
response_rate                                                float64      1                 0.75                 0.75                 0.75                 0.75                 0.75                 0.75     
mean_days_to_respond                                         float64      1                1.338                1.338                1.338                1.338                1.338                1.338     
pos_sentiment_avg                                            float64      1             0.325417             0.325417             0.325417             0.325417             0.325417             0.325417     
neg_sentiment_avg                                            float64      1             0.057535             0.057535             0.057535             0.057535             0.057535             0.057535     
ov_sentiment_avg                                             float64      1             0.178635             0.178635             0.178635             0.178635             0.178635             0.178635     
response_rate_pull_request_comment                           float64      1             0.857143             0.857143             0.857143             0.857143             0.857143             0.857143     
response_rate_pull_request_opened                            float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
response_rate_pull_request_review_comment                    float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5     
mean_days_to_respond_pull_request_comment                    float64      1             1.793553             1.793553             1.793553             1.793553             1.793553             1.793553     
mean_days_to_respond_pull_request_opened                     float64      1             0.311389             0.311389             0.311389             0.311389             0.311389             0.311389     
mean_days_to_respond_pull_request_review_comment             float64      1             0.484647             0.484647             0.484647             0.484647             0.484647             0.484647     
mean_days_to_respond_to_last_comment                         float64      1             0.356759             0.356759             0.356759             0.356759             0.356759             0.356759     
pull_request_comment_pos_sentiment_avg                       float64      1             0.262429             0.262429             0.262429             0.262429             0.262429             0.262429     
pull_request_comment_neg_sentiment_avg                       float64      1              0.01156              0.01156              0.01156              0.01156              0.01156              0.01156     
pull_request_comment_ov_sentiment_avg                        float64      1             0.285346             0.285346             0.285346             0.285346             0.285346             0.285346     
pull_request_opened_pos_sentiment_avg                        float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_opened_neg_sentiment_avg                        float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_opened_ov_sentiment_avg                         float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_review_comment_pos_sentiment_avg                float64      1                0.517                0.517                0.517                0.517                0.517                0.517     
pull_request_review_comment_neg_sentiment_avg                float64      1             0.152375             0.152375             0.152375             0.152375             0.152375             0.152375     
pull_request_review_comment_ov_sentiment_avg                 float64      1              0.03655              0.03655              0.03655              0.03655              0.03655              0.03655     
avg_pull_request_comment_count                               float64      1                  7.0                  7.0                  7.0                  7.0                  7.0                  7.0     
avg_pull_request_review_comment_count                        float64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0     
avg_all_disc_count                                           float64      1                 11.0                 11.0                 11.0                 11.0                 11.0                 11.0     
avg_pull_request_comment_exclude_opener_count                float64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0     
avg_pull_request_review_comment_exclude_opener_count         float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0     
avg_all_disc_exclude_opener_count                            float64      1                  6.0                  6.0                  6.0                  6.0                  6.0                  6.0     
clustering_coefficient                                       float64      5                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0  0.0

