File: drive/output/derived/org_outcomes_practices/repo_discussion_quality/all/rolling5/pythonic-emacs___service-factory.parquet

MD5 hash: a8c89b3dace96b95a366746f262586f6

Keys: time_period 

                                                         type  count                 mean                  min                  25%                  50%                  75%                  max  std
time_period                                    datetime64[ns]      5  2017-07-01 14:24:00  2016-07-01 00:00:00  2017-01-01 00:00:00  2017-07-01 00:00:00  2018-01-01 00:00:00  2018-07-01 00:00:00     
response_rate                                         float64      1             0.833333             0.833333             0.833333             0.833333             0.833333             0.833333     
mean_days_to_respond                                  float64      1             0.251398             0.251398             0.251398             0.251398             0.251398             0.251398     
pos_sentiment_avg                                     float64      1             0.136611             0.136611             0.136611             0.136611             0.136611             0.136611     
neg_sentiment_avg                                     float64      1             0.010083             0.010083             0.010083             0.010083             0.010083             0.010083     
ov_sentiment_avg                                      float64      1             0.294172             0.294172             0.294172             0.294172             0.294172             0.294172     
response_rate_pull_request_comment                    float64      1                  0.8                  0.8                  0.8                  0.8                  0.8                  0.8     
response_rate_pull_request_opened                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
mean_days_to_respond_pull_request_comment             float64      1             0.308744             0.308744             0.308744             0.308744             0.308744             0.308744     
mean_days_to_respond_pull_request_opened              float64      1             0.022014             0.022014             0.022014             0.022014             0.022014             0.022014     
mean_days_to_respond_to_last_comment                  float64      1             1.154167             1.154167             1.154167             1.154167             1.154167             1.154167     
pull_request_comment_pos_sentiment_avg                float64      1               0.1466               0.1466               0.1466               0.1466               0.1466               0.1466     
pull_request_comment_neg_sentiment_avg                float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_comment_ov_sentiment_avg                 float64      1              0.33528              0.33528              0.33528              0.33528              0.33528              0.33528     
pull_request_opened_pos_sentiment_avg                 float64      1             0.086667             0.086667             0.086667             0.086667             0.086667             0.086667     
pull_request_opened_neg_sentiment_avg                 float64      1               0.0605               0.0605               0.0605               0.0605               0.0605               0.0605     
pull_request_opened_ov_sentiment_avg                  float64      1             0.088633             0.088633             0.088633             0.088633             0.088633             0.088633     
avg_pull_request_comment_count                        float64      1                  5.0                  5.0                  5.0                  5.0                  5.0                  5.0     
avg_all_disc_count                                    float64      1                  5.0                  5.0                  5.0                  5.0                  5.0                  5.0     
avg_pull_request_comment_exclude_opener_count         float64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0     
avg_all_disc_exclude_opener_count                     float64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0     
clustering_coefficient                                float64      5                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0  0.0

