File: drive/output/derived/org_outcomes_practices/repo_discussion_quality/all/rolling5/wbond___ocspbuilder.parquet

MD5 hash: 2e40d3a6b5889ad071177fb544e04501

Keys: time_period 

                                                         type  count                 mean                  min                  25%                  50%                  75%                  max  std
time_period                                    datetime64[ns]      5  2016-12-31 04:48:00  2016-01-01 00:00:00  2016-07-01 00:00:00  2017-01-01 00:00:00  2017-07-01 00:00:00  2018-01-01 00:00:00     
response_rate                                         float64      1             0.833333             0.833333             0.833333             0.833333             0.833333             0.833333     
mean_days_to_respond                                  float64      1             0.072741             0.072741             0.072741             0.072741             0.072741             0.072741     
pos_sentiment_avg                                     float64      1              0.12569              0.12569              0.12569              0.12569              0.12569              0.12569     
neg_sentiment_avg                                     float64      1             0.010861             0.010861             0.010861             0.010861             0.010861             0.010861     
ov_sentiment_avg                                      float64      1             0.165865             0.165865             0.165865             0.165865             0.165865             0.165865     
response_rate_pull_request_comment                    float64      1                  0.8                  0.8                  0.8                  0.8                  0.8                  0.8     
response_rate_pull_request_opened                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
mean_days_to_respond_pull_request_comment             float64      1             0.062205             0.062205             0.062205             0.062205             0.062205             0.062205     
mean_days_to_respond_pull_request_opened              float64      1             0.114884             0.114884             0.114884             0.114884             0.114884             0.114884     
mean_days_to_respond_to_last_comment                  float64      1              0.22559              0.22559              0.22559              0.22559              0.22559              0.22559     
pull_request_comment_pos_sentiment_avg                float64      1             0.160812             0.160812             0.160812             0.160812             0.160812             0.160812     
pull_request_comment_neg_sentiment_avg                float64      1             0.005792             0.005792             0.005792             0.005792             0.005792             0.005792     
pull_request_comment_ov_sentiment_avg                 float64      1             0.202965             0.202965             0.202965             0.202965             0.202965             0.202965     
pull_request_opened_pos_sentiment_avg                 float64      1             0.055444             0.055444             0.055444             0.055444             0.055444             0.055444     
pull_request_opened_neg_sentiment_avg                 float64      1                0.021                0.021                0.021                0.021                0.021                0.021     
pull_request_opened_ov_sentiment_avg                  float64      1             0.091667             0.091667             0.091667             0.091667             0.091667             0.091667     
avg_pull_request_comment_count                        float64      1                  6.0                  6.0                  6.0                  6.0                  6.0                  6.0     
avg_all_disc_count                                    float64      1                  6.0                  6.0                  6.0                  6.0                  6.0                  6.0     
avg_pull_request_comment_exclude_opener_count         float64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0     
avg_all_disc_exclude_opener_count                     float64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0     
clustering_coefficient                                float64      5                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0  0.0

