covar,dataset,rolling,past_periods,percent_changed_from_0,percent_changed_from_1
avg_members_per_problem,important_topk_exact1,rolling5,2,2.70127118644068,2.64830508474576
avg_members_per_problem,important_topk_exact1,rolling5,3,4.29025423728814,4.23728813559322
avg_members_per_problem,important_topk_exact1,rolling5,4,5.40254237288136,5.34957627118644
avg_members_per_problem,important_topk_exact1,rolling5,5,6.46186440677966,6.40889830508475
pct_members_multiple,important_topk_exact1,rolling5,2,2.75423728813559,2.75423728813559
pct_members_multiple,important_topk_exact1,rolling5,3,4.34322033898305,4.34322033898305
pct_members_multiple,important_topk_exact1,rolling5,4,5.82627118644068,5.82627118644068
pct_members_multiple,important_topk_exact1,rolling5,5,7.41525423728814,7.41525423728814
proj_hhi_pull_request_review_comment,important_topk_exact1,rolling5,2,2.74247491638796,1.46960587842351
proj_hhi_pull_request_review_comment,important_topk_exact1,rolling5,3,5.28074866310161,2.31481481481482
proj_hhi_pull_request_review_comment,important_topk_exact1,rolling5,4,7.27636849132176,3.48454963839579
proj_hhi_pull_request_review_comment,important_topk_exact1,rolling5,5,8,4.31937172774869
proj_hhi_discussion_comment,important_topk_exact1,rolling5,2,1.95974576271186,1.95974576271186
proj_hhi_discussion_comment,important_topk_exact1,rolling5,3,3.44279661016949,3.44279661016949
proj_hhi_discussion_comment,important_topk_exact1,rolling5,4,4.60805084745763,4.60805084745763
proj_hhi_discussion_comment,important_topk_exact1,rolling5,5,5.61440677966102,5.61440677966102
proj_prob_hhi_issue_comment,important_topk_exact1,rolling5,2,3.33154218162278,3.3297529538131
proj_prob_hhi_issue_comment,important_topk_exact1,rolling5,3,5.53465878559914,5.58239398819109
proj_prob_hhi_issue_comment,important_topk_exact1,rolling5,4,7.46910263299302,7.51476113794954
proj_prob_hhi_issue_comment,important_topk_exact1,rolling5,5,8.59752821063944,8.64197530864198
proj_prob_hhi_pull_request_comment,important_topk_exact1,rolling5,2,3.61317747077577,3.56193514088251
proj_prob_hhi_pull_request_comment,important_topk_exact1,rolling5,3,5.68242166755178,5.63530037214248
proj_prob_hhi_pull_request_comment,important_topk_exact1,rolling5,4,7.01009028146575,6.96438064859118
proj_prob_hhi_pull_request_comment,important_topk_exact1,rolling5,5,8.01911842804036,7.97448165869219
proj_prob_hhi_pull_request_review,important_topk_exact1,rolling5,2,2.9023746701847,2.98507462686567
proj_prob_hhi_pull_request_review,important_topk_exact1,rolling5,3,5.00878734622144,5.08771929824561
proj_prob_hhi_pull_request_review,important_topk_exact1,rolling5,4,5.88752196836555,5.96491228070175
proj_prob_hhi_pull_request_review,important_topk_exact1,rolling5,5,6.32688927943761,6.40350877192983
proj_prob_hhi_pull_request_review_comment,important_topk_exact1,rolling5,2,2.94314381270903,2.93921175684703
proj_prob_hhi_pull_request_review_comment,important_topk_exact1,rolling5,3,5.26315789473684,5.37491705374917
proj_prob_hhi_pull_request_review_comment,important_topk_exact1,rolling5,4,6.90112806901128,7.01058201058201
proj_prob_hhi_pull_request_review_comment,important_topk_exact1,rolling5,5,7.92602377807133,7.85997357992074
share_issue_only,important_topk_exact1,rolling5,2,2.93000542593597,2.23189983669026
share_issue_only,important_topk_exact1,rolling5,3,4.38311688311688,3.5383777898748
share_issue_only,important_topk_exact1,rolling5,4,5.51351351351351,4.62710941752858
share_issue_only,important_topk_exact1,rolling5,5,6.37837837837838,5.49809471965161
share_pr_only,important_topk_exact1,rolling5,2,2.97297297297297,2.76273022751896
share_pr_only,important_topk_exact1,rolling5,3,4.42286947141316,4.16892257715214
share_pr_only,important_topk_exact1,rolling5,4,5.59139784946237,5.29443544030254
share_pr_only,important_topk_exact1,rolling5,5,6.71681891456206,6.37493246893571
share_issue_and_pr,important_topk_exact1,rolling5,2,3.43347639484979,3.43347639484979
share_issue_and_pr,important_topk_exact1,rolling5,3,4.93297587131367,4.93562231759657
share_issue_and_pr,important_topk_exact1,rolling5,4,6.33047210300429,6.38069705093834
share_issue_and_pr,important_topk_exact1,rolling5,5,7.44908896034298,7.45308310991957
avg_unique_types,important_topk_exact1,rolling5,2,2.64830508474576,2.64830508474576
avg_unique_types,important_topk_exact1,rolling5,3,4.13135593220339,4.13135593220339
avg_unique_types,important_topk_exact1,rolling5,4,5.61440677966102,5.61440677966102
avg_unique_types,important_topk_exact1,rolling5,5,6.56779661016949,6.56779661016949
text_sim_ratio,important_topk_exact1,rolling5,2,3.54872881355932,3.54872881355932
text_sim_ratio,important_topk_exact1,rolling5,3,5.45550847457627,5.45550847457627
text_sim_ratio,important_topk_exact1,rolling5,4,6.72669491525424,6.72669491525424
text_sim_ratio,important_topk_exact1,rolling5,5,7.83898305084746,7.83898305084746
cos_sim_same_actor,important_topk_exact1,rolling5,2,3.125,3.125
cos_sim_same_actor,important_topk_exact1,rolling5,3,5.1906779661017,5.1906779661017
cos_sim_same_actor,important_topk_exact1,rolling5,4,6.40889830508475,6.40889830508475
cos_sim_same_actor,important_topk_exact1,rolling5,5,7.83898305084746,7.83898305084746
cos_sim_diff_actor,important_topk_exact1,rolling5,2,3.38983050847458,3.38983050847458
cos_sim_diff_actor,important_topk_exact1,rolling5,3,5.03177966101695,5.03177966101695
cos_sim_diff_actor,important_topk_exact1,rolling5,4,6.56779661016949,6.56779661016949
cos_sim_diff_actor,important_topk_exact1,rolling5,5,7.73305084745763,7.73305084745763
pct_merged_with_approved,important_topk_exact1,rolling5,2,1.76211453744493,1.68869309838473
