File:  output/analysis/event_study/important_topk_exact1/rolling5/all_coefficients_rolling5.csv 
MD5:   2c3c2dc8d9af06cc0a566786a0d6e50e 
Key:   dataset rolling category outcome normalize method covar split_value event_time 
 
 ================================================================ 
 variable_name   type      N   uniqueN  mean   sd    min    max   
 ---------------------------------------------------------------- 
 dataset       character 9,288    1                               
 rolling       character 9,288    1                               
 category      character 9,288    2                               
 outcome       character 9,288    4                               
 normalize      logical  9,288    1                               
 method        character 9,288    2                               
 covar         character 9,288   38                               
 split_value   character 9,288    3                               
 event_time     numeric  9,288         -2.926 9.016  -18     13   
 estimate       numeric  9,288         -0.151 0.789 -4.756 11.636 
 sd             numeric  9,288         0.327  0.326   0    5.330  
 ci_low         numeric  9,288         -0.795 0.886 -7.999 10.537 
 ci_high        numeric  9,288         0.493  1.135 -4.297 15.976 
 ---------------------------------------------------------------- 
