File:  output/analysis/event_study/important_topk_oneQual/rolling5/all_coefficients_rolling5.csv 
MD5:   4c2fe2a442e342eaba654a8f8d40ce92 
Key:   dataset rolling category outcome normalize method covar split_value event_time 
 
 ================================================================ 
 variable_name   type      N   uniqueN  mean   sd    min    max   
 ---------------------------------------------------------------- 
 dataset       character 9,456    1                               
 rolling       character 9,456    1                               
 category      character 9,456    2                               
 outcome       character 9,456    4                               
 normalize      logical  9,456    1                               
 method        character 9,456    2                               
 covar         character 9,456   39                               
 split_value   character 9,456    3                               
 event_time     numeric  9,456         -2.946 9.036  -18     13   
 estimate       numeric  9,456         -0.170 0.739 -5.315 5.206  
 sd             numeric  9,456         0.217  0.183   0    3.671  
 ci_low         numeric  9,456         -0.597 0.817 -6.225 3.699  
 ci_high        numeric  9,456         0.258  0.828 -4.406 11.191 
 ---------------------------------------------------------------- 
