covar,dataset,rolling,past_periods,percent_changed_from_0,percent_changed_from_1
avg_members_per_problem,important_topk_oneQual,rolling5,2,2.06688341848583,2.04366000928936
avg_members_per_problem,important_topk_oneQual,rolling5,3,3.76219228982815,3.73896888063168
avg_members_per_problem,important_topk_oneQual,rolling5,4,5.08592661402694,5.06270320483047
avg_members_per_problem,important_topk_oneQual,rolling5,5,6.2006502554575,6.17742684626103
pct_members_multiple,important_topk_oneQual,rolling5,2,2.62424523920112,2.41523455643288
pct_members_multiple,important_topk_oneQual,rolling5,3,4.43567115652578,4.22666047375755
pct_members_multiple,important_topk_oneQual,rolling5,4,5.80585229911751,5.59684161634928
pct_members_multiple,important_topk_oneQual,rolling5,5,7.15281003251277,6.94379934974454
proj_hhi_pull_request_review_comment,important_topk_oneQual,rolling5,2,1.68741355463347,2.34588106928533
proj_hhi_pull_request_review_comment,important_topk_oneQual,rolling5,3,3.06799336650083,4.057343792264
proj_hhi_pull_request_review_comment,important_topk_oneQual,rolling5,4,4.08952749378281,5.25040387722132
proj_hhi_pull_request_review_comment,important_topk_oneQual,rolling5,5,4.80132450331126,6.01342281879195
proj_hhi_discussion_comment,important_topk_oneQual,rolling5,2,1.92754296330701,1.92754296330701
proj_hhi_discussion_comment,important_topk_oneQual,rolling5,3,3.48351137947051,3.48351137947051
proj_hhi_discussion_comment,important_topk_oneQual,rolling5,4,4.55178820250813,4.55178820250813
proj_hhi_discussion_comment,important_topk_oneQual,rolling5,5,5.52717138875987,5.52717138875987
proj_prob_hhi_issue_comment,important_topk_oneQual,rolling5,2,2.855782960495,2.99714557564225
proj_prob_hhi_issue_comment,important_topk_oneQual,rolling5,3,5.06780870806567,5.15439429928741
proj_prob_hhi_issue_comment,important_topk_oneQual,rolling5,4,6.82683158896289,6.93092807975314
proj_prob_hhi_issue_comment,important_topk_oneQual,rolling5,5,8.15889628924834,8.25818699572852
proj_prob_hhi_pull_request_comment,important_topk_oneQual,rolling5,2,2.3754075454122,2.3754075454122
proj_prob_hhi_pull_request_comment,important_topk_oneQual,rolling5,3,4.16666666666667,4.14531904983698
proj_prob_hhi_pull_request_comment,important_topk_oneQual,rolling5,4,5.77281191806332,5.75221238938053
