event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value
-18,-1.0699553755377489,0.46367878893742875,-1.978765801855109,-0.16114494922038858,important_topk_defaultWhat,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-17,-1.4903937602581543,0.4145643504708331,-2.302939887180987,-0.6778476333353214,important_topk_defaultWhat,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-16,-0.7575174799655477,0.40179214567332666,-1.5450300854852679,0.029995125554172497,important_topk_defaultWhat,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-15,-0.5741995350927287,0.3249996555721623,-1.211198860014167,0.06279978982870948,important_topk_defaultWhat,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-14,-0.8418515754950862,0.32208091779122827,-1.4731301743658936,-0.21057297662427876,important_topk_defaultWhat,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-13,-0.49404866291230076,0.3170830760191388,-1.1155314919098127,0.1274341660852113,important_topk_defaultWhat,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-12,-0.025460711691788453,0.3152280629502471,-0.6433077150742726,0.5923862916906958,important_topk_defaultWhat,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-11,-0.2889491029887877,0.2340937002428372,-0.7477727554647486,0.16987454948717323,important_topk_defaultWhat,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-10,0.25592252214986777,0.3009263093117775,-0.3338930441012161,0.8457380884009517,important_topk_defaultWhat,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-9,0.14125425020817037,0.23939712507195743,-0.32796411493286615,0.6104726153492069,important_topk_defaultWhat,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-8,0.004057441890855967,0.19005047582300724,-0.3684414907222382,0.3765563745039502,important_topk_defaultWhat,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
