File: issue/project_collaboration.parquet

MD5 hash: 660588700eff93ad5f6236e60f1262d9

Keys: repo_name time_period 

                                                              type  count unique                        mean                  min                  25%                  50%                  75%                  max          std
repo_name                                                   object   1280     92                                                                                                                                                  
time_period                                         datetime64[ns]   1280         2019-09-12 22:49:07.500000  2011-07-01 00:00:00  2018-01-01 00:00:00  2020-01-01 00:00:00  2021-08-16 00:00:00  2023-07-01 00:00:00             
treatment_period                                    datetime64[us]   1280         2019-12-11 15:14:37.500000  2016-07-01 00:00:00  2018-07-01 00:00:00  2020-07-01 00:00:00  2021-07-01 00:00:00  2022-07-01 00:00:00             
contributors_dept_comm_05avg_above                         float64   1256                          84.768312                  0.0                  0.0                 26.5                101.0               1790.0   170.884979
contributors_dept_comm_05avg_below                         float64   1256                          71.005573                  0.0                  0.0                  0.0                 75.0               1724.0     172.5722
contributors_dept_comm_2avg_above                          float64   1256                          67.753981                  0.0                  0.0                  0.0                 74.0               1481.0   155.663886
contributors_dept_comm_2avg_below                          float64   1256                          93.632962                  0.0                  0.0                 20.0                114.0               2033.0   190.957612
contributors_dept_comm                                     float64   1256                          107.11465                  0.0                  0.0                 44.5               143.25               2073.0   193.850305
contributors_dept_comm_avg_above                           float64   1256                          76.868631                  0.0                  0.0                 17.0                 88.0               1587.0   161.447722
contributors_dept_comm_avg_below                           float64   1256                          82.550955                  0.0                  0.0                  0.0                 98.0               1927.0   184.024376
contributors_dept_never_comm                               float64   1256                        1249.715764                  0.0                202.0                559.5               1515.0              11050.0  1910.852391
contributors_dept_never_comm_predep                        float64   1256                         654.835191                  0.0                28.75                218.0               736.75               8363.0  1226.589405
contributors_dept_comm_3avg_above                          float64   1256                          61.680732                  0.0                  0.0                  0.0                 60.0               1458.0   153.607854
contributors_dept_comm_3avg_below                          float64   1256                          98.061306                  0.0                  0.0                 26.0                126.0               2056.0   192.204088
contributors_dept_comm_per_problem_05avg_above             float64   1256                          94.324841                  0.0                  0.0                 29.0                116.0               2032.0   186.962338
contributors_dept_comm_per_problem_05avg_below             float64   1256                          56.866242                  0.0                  0.0                  0.0                 44.0               1482.0   155.726319
contributors_dept_comm_per_problem_2avg_above              float64   1256                          22.999204                  0.0                  0.0                  0.0                  0.0               1524.0   112.586445
contributors_dept_comm_per_problem_2avg_below              float64   1256                          101.83121                  0.0                  0.0                 39.0               134.25               1990.0    187.55297
contributors_dept_comm_per_problem_avg_above               float64   1256                          71.890127                  0.0                  0.0                  0.0                82.25               1719.0   167.869843
contributors_dept_comm_per_problem_avg_below               float64   1256                          85.025478                  0.0                  0.0                 19.0                 99.0               1795.0   175.812851
contributors_dept_comm_per_problem_3avg_above              float64   1256                           6.598726                  0.0                  0.0                  0.0                  0.0               1234.0    69.707664
contributors_dept_comm_per_problem_3avg_below              float64   1256                         105.980096                  0.0                  0.0                 43.0               141.25               2048.0   192.370286
contributors_dept_comm_per_problem_min_05avg_above         float64   1256                           70.91242                  0.0                  0.0                 13.0                 76.0               1455.0   155.570192
contributors_dept_comm_per_problem_min_05avg_below         float64   1256                          25.517516                  0.0                  0.0                  0.0                  0.0               1445.0     103.0064
contributors_dept_comm_per_problem_min_2avg_above          float64   1256                           7.187898                  0.0                  0.0                  0.0                  0.0               1156.0    59.331761
contributors_dept_comm_per_problem_min_2avg_below          float64   1256                          72.204618                  0.0                  0.0                 16.5                 81.0               1458.0   153.565046
contributors_dept_comm_per_problem_min_avg_above           float64   1256                          56.317675                  0.0                  0.0                  0.0                42.25               1449.0   148.226977
contributors_dept_comm_per_problem_min_avg_below           float64   1256                          54.838376                  0.0                  0.0                  0.0                56.25               1451.0   139.259825
contributors_dept_comm_per_problem_min_3avg_above          float64   1256                           0.280255                  0.0                  0.0                  0.0                  0.0                100.0     4.978948
contributors_dept_comm_per_problem_min_3avg_below          float64   1256                          74.985669                  0.0                  0.0                 19.0                 83.0               1459.0   155.811884
prs_opened_dept_comm_05avg_above                           float64   1256                          24.451433                  0.0                  0.0                  2.0                 18.0                627.0    58.878882
