pc_score_subset,att_high,att_others_wavg,difference,count_high
collaboration_pc_score x discussion_quality_pc_score,7.941769111986962,-2.3632323739320586,10.305001485919021,148
shared_knowledge_pc_score x investment_in_new_talent_pc_score,5.19168605692085,-0.37437402230784367,5.566060079228694,102
shared_knowledge_pc_score x problem_solving_routines_pc_score,5.19624705600419,-0.018796903441010628,5.215043959445201,74
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,3.8734995328174313,-0.23699532018095607,4.110494852998388,122
collaboration_pc_score x investment_in_new_talent_pc_score,2.2683564297092524,0.29721968317118214,1.9711367465380703,123
shared_knowledge_pc_score x discussion_quality_pc_score,1.902486806648871,0.3573281251629991,1.5451586814858718,138
discussion_quality_pc_score x problem_solving_routines_pc_score,0.3012550508350315,0.8935918043519493,-0.5923367535169177,64
collaboration_pc_score x problem_solving_routines_pc_score,0.03898899674155387,0.9836109970634963,-0.9446220003219424,91
discussion_quality_pc_score x investment_in_new_talent_pc_score,-0.08498102517369778,1.056670787157413,-1.1416518123311108,109
collaboration_pc_score x shared_knowledge_pc_score,-3.3582538781736444,2.5510948427812994,-5.909348720954943,143
