practice_subset,att_high,att_others_wavg,difference,count_high
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,2.7422284102338383,-2.148436826287854,4.890665236521692,65
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,1.6339200186282028,-1.8681725051053872,3.50209252373359,55
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,1.535362833840862,-1.9070340773084284,3.4423969111492907,61
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,0.08545138858901849,-1.7104715445931775,1.795922933182196,68
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,-0.056216473818767584,-1.693694609574131,1.6374781357553634,70
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,-0.43697028470126786,-1.5576026248398491,1.1206323401385814,48
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,-1.7908678557882978,-1.3957180793867776,-0.39514977640152016,47
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,-2.905481533968761,-1.1646533517213455,-1.7408281822474156,70
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,-3.015270980212087,-1.2158625435334076,-1.7994084366786796,55
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,-7.986158242055394,0.23674825575921368,-8.222906497814607,91
