pc_score_subset,pattern,rank,att_dr_mean,count
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-low-low,1,20.343565334160598,43
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,1,19.907652637557725,52
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-low-high,1,17.69801884316193,51
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-low-low,1,17.03982821898132,57
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-high-high,2,16.623364371961703,23
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,2,15.960706553943355,43
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,1,14.430271167979477,72
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,1,14.17114913380153,75
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,2,13.253401361096063,37
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,1,13.068686916983625,44
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,2,12.746066923354643,119
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,2,12.254278371579845,67
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-high-high,2,10.469115259145378,33
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,1,10.06274184642527,100
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,1,9.469064746922445,48
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,2,8.018923545932703,46
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,1,7.7449490534880265,60
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,2,7.252667079501806,59
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,3,7.098460943049712,59
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,3,7.031742550686521,102
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,3,5.69893424955464,76
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,3,5.632762508650535,70
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-low-high,2,5.5955120686969115,51
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,2,5.389326026522482,49
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,3,5.349250412423465,79
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-low-high,3,5.043542705339278,67
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-high,3,4.634588572951331,27
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,3,4.401597249177921,52
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,4,3.985988987792292,71
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,4,3.664942607271393,101
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,4,3.567262847207956,48
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,4,3.154871256531219,47
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,5,3.055442787035982,50
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-high-high,3,2.758761442300263,97
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-high-high,4,2.6305807087824737,69
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,4,2.3352560691900783,100
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-low-high,5,1.8122221523577786,54
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,5,1.7128071382341483,76
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-low-low,3,1.67187393633362,104
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-low-low,4,1.522485752064511,46
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,4,1.5052609115036344,52
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,4,1.4552036229201104,42
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,5,0.9570803816920589,86
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,5,0.2439437182628301,74
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,5,0.12693548055556778,62
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-high-high,4,0.04284120763119661,51
