pc_score_subset,att_high,att_others_wavg,difference,count_high
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,7.7449490534880265,-0.19141625778504828,7.936365311273075,60
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,3.567262847207956,0.5131505474469549,3.0541122997610013,48
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,2.758761442300263,0.30810917194729887,2.450652270352964,97
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,2.6305807087824737,0.49627110248037,2.1343096063021036,69
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,1.7128071382341483,0.6296692473987124,1.0831378908354359,76
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,1.5052609115036344,0.7079712842672043,0.79728962723643,52
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,0.2439437182628301,0.9117842418515127,-0.6678405235886826,74
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,0.04284120763119661,0.875052791641898,-0.8322115840107014,51
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,-2.8609072490876777,1.1114343614901943,-3.972341610577872,37
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,-2.7922429322510047,1.2940546351239892,-4.086297567374994,59
