pc_score_subset,att_high,att_others_wavg,difference,count_high
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,-16.790379980796036,-17.934245208872376,1.14386522807634,166
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,-32.0317060319318,-15.744352932087338,-16.28735309984446,118
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,-36.05735086816326,-14.801248433127789,-21.256102435035473,129
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,-36.52425701324861,-14.719573436864135,-21.804683576384473,129
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,-39.41654827736805,-15.295517869258765,-24.121030408109284,100
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,-41.83833906714924,-15.237014798202226,-26.601324268947018,94
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,-44.025262454782016,-14.757751119633848,-29.267511335148168,92
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,-55.253365414876924,-14.490424689149894,-40.762940725727034,85
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,-88.84248570805501,-12.506386187198155,-76.33609952085685,71
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,-123.50840465178894,-5.847901546534326,-117.6605031052546,98
