pc_score_subset,att_high,att_others_wavg,difference,count_high
collaboration_pc_score x discussion_quality_pc_score,-12.007349636300615,-20.30514447156649,8.297794835265874,278
shared_knowledge_pc_score x discussion_quality_pc_score,-18.639366093362572,-17.660645418266817,-0.9787206750957544,253
shared_knowledge_pc_score x investment_in_new_talent_pc_score,-18.671373917999563,-17.6104364527601,-1.060937465239462,176
collaboration_pc_score x shared_knowledge_pc_score,-19.102650673191363,-17.268240517779304,-1.8344101554120584,272
collaboration_pc_score x investment_in_new_talent_pc_score,-20.783045046512115,-16.913308304226874,-3.869736742285241,219
collaboration_pc_score x problem_solving_routines_pc_score,-30.153626725563726,-15.100517554023504,-15.053109171540221,163
shared_knowledge_pc_score x problem_solving_routines_pc_score,-44.71344895491456,-13.078293856267281,-31.63515509864728,138
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,-55.633476418906554,-6.32085580033104,-49.312620618575515,215
discussion_quality_pc_score x investment_in_new_talent_pc_score,-64.26519792218119,-6.049478523434322,-58.21571939874686,189
discussion_quality_pc_score x problem_solving_routines_pc_score,-113.8042353592818,-3.3253264787288668,-110.47890888055294,126
