practice_subset,att_high,att_others_wavg,difference,count_high
collaboration_principal_component1 x shared_knowledge_principal_component1 x discussion_quality_principal_component1,8.20046251390153,-2.6000104090996885,10.800472923001218,168
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,4.748064303062108,-1.2508720792640022,5.998936382326111,104
collaboration_principal_component1 x discussion_quality_principal_component1 x investment_in_new_talent_principal_component1,0.5784874344547752,-0.653335805081471,1.2318232395362463,128
discussion_quality_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,-2.257699984851371,-0.30994603904404827,-1.9477539458073225,89
collaboration_principal_component1 x shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1,-2.7923949766927296,-0.05974292936197448,-2.732652047330755,129
collaboration_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,-4.6562382782555325,0.059002416165320586,-4.715240694420853,82
shared_knowledge_principal_component1 x discussion_quality_principal_component1 x problem_solving_routines_principal_component1,-6.09167206954734,0.09334609489801164,-6.185018164445352,76
shared_knowledge_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,-6.097066613326661,0.3002053683274111,-6.397271981654073,101
collaboration_principal_component1 x investment_in_new_talent_principal_component1 x problem_solving_routines_principal_component1,-10.124895937939316,1.1844831574435029,-11.30937909538282,119
collaboration_principal_component1 x shared_knowledge_principal_component1 x problem_solving_routines_principal_component1,-11.030388480356562,0.9215453378971183,-11.95193381825368,93
