pc_score_subset,pattern,rank,att_dr_mean,count
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,1,8.988858561158445,76
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-low-low,1,8.776263605941455,88
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,1,8.290169133852947,149
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-high-high,2,8.049290309864944,58
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,1,7.436078334951768,182
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,1,7.428118465219737,82
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-low-low,1,6.977926003167128,118
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,1,6.804818909660724,97
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-low-low,1,6.321936468105874,77
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,1,6.1890613743571645,193
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,2,3.3934300965792734,124
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,1,2.6381536221629514,98
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,2,1.9628730297800177,244
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-high-low,2,1.9094329797573675,143
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,2,1.364474115989219,90
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-high-low,2,1.027402925545278,102
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,2,0.40996795974658684,163
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,3,-0.12801785587024989,90
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,3,-1.253033970761071,67
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,2,-1.5956794346759235,132
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,3,-2.048006761367835,117
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,3,-2.379227979793184,208
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,3,-2.4961626250573725,122
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,2,-2.7088953697107883,112
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,4,-2.9791219950007073,91
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,2,-3.0906945285433145,80
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,3,-3.293844477822143,199
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,3,-4.000331789214707,204
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-low-high,3,-4.598341847768523,112
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,4,-4.965799241263134,159
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,4,-5.053888036250562,78
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-low-low,4,-5.816747776567559,177
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,4,-6.151947302780238,91
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,4,-6.275759388267451,247
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-high-low,3,-6.498111381352421,180
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,4,-6.794649004052543,34
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,5,-6.885259574731318,142
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,5,-7.231211502987776,113
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-low-high,3,-7.521465779491036,101
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,5,-7.674380411615672,153
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,5,-7.770798063875288,243
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,4,-8.473340620803341,155
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-high-low,4,-9.448956005331842,154
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,5,-9.516395174569846,31
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,5,-9.676848322481437,41
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-low-low,4,-9.87910545490474,198
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-low-high,5,-11.658112419939398,71
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-low-low,5,-12.8313374946409,147
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,6,-13.757107392136351,207
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,6,-14.595292406971872,105
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,6,-15.699810904243524,141
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-high-high,5,-16.790379980796036,166
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-high-low,6,-17.211014208247235,131
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,5,-20.512127835009252,93
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-high-high,6,-22.202046651722494,87
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-high-low,7,-22.615523455868892,106
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,6,-22.68876404486557,126
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,6,-23.14877545362674,123
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-high-high,7,-32.0317060319318,118
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,7,-36.05735086816326,129
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,6,-36.52425701324861,129
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,6,-39.41654827736805,100
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,7,-41.83833906714924,94
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-high-high,6,-44.025262454782016,92
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-high-high,7,-46.12183062960444,46
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,7,-55.253365414876924,85
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,7,-59.24209081332783,38
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-low-high,8,-59.98188415938908,126
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,7,-64.97751550740622,35
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,8,-70.04852365582968,115
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,7,-78.86922590625603,28
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,8,-83.49149507052839,86
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-low-high,8,-86.40005876189235,96
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,8,-86.94690744602026,95
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,7,-88.84248570805501,71
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-low-high,8,-97.13442993870238,75
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,8,-122.13991860197656,60
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,8,-123.50840465178894,98
