File:  output/analysis/event_study/important_topk_cons5_exact1/rolling5/all_coefficients_rolling5.csv 
MD5:   a143e84435418c64ab62d702642549e8 
Key:   dataset rolling category outcome normalize method covar split_value event_time 
 
 ================================================================= 
 variable_name   type      N   uniqueN  mean   sd     min    max   
 ----------------------------------------------------------------- 
 dataset       character 9,132    1                                
 rolling       character 9,132    1                                
 category      character 9,132    2                                
 outcome       character 9,132    4                                
 normalize      logical  9,132    1                                
 method        character 9,132    1                                
 covar         character 9,132   38                                
 split_value   character 9,132    3                                
 event_time     numeric  9,132         -3.028 8.985   -18     13   
 estimate       numeric  9,132         -0.018 0.854 -6.576  6.750  
 sd             numeric  9,132         0.352  0.363    0    6.196  
 ci_low         numeric  9,132         -0.707 0.899 -18.719 2.481  
 ci_high        numeric  9,132         0.671  1.289 -2.611  17.628 
 ----------------------------------------------------------------- 
