File: drive/output/derived/project_outcomes/project_outcomes_major_months6_all.parquet

MD5 hash: 5c13bef7b040f0b4d2f6950eaac4c0ec

Keys: repo_name time_period 

                                                     type   count unique                           mean                  min                  25%                  50%                  75%                  max              std
repo_name                                          object  119967   6428                                                                                                                                                         
time_period                                datetime64[ns]  119967         2022-05-30 22:49:52.602965504  2015-01-01 00:00:00  2018-01-01 00:00:00  2020-07-01 00:00:00  2023-01-01 00:00:00  2061-01-01 00:00:00                 
prs_opened                                        float64  119967                              5.634678                  0.0                  0.0                  0.0                  2.0               3573.5        40.248903
avg_prs_opened                                    float64  119967                              0.514701                  0.0                  0.0                  0.0             0.333333                124.5         2.067173
commits                                           float64  119967                             26.288854                  0.0                  0.0                  1.0                 13.0               7832.0       126.842503
avg_commits                                       float64  119967                              4.274072                  0.0                  0.0             0.142857                  3.0                830.0        15.427615
commit_additions                                  float64  119967                           38727.42385                  0.0                  0.0                  0.0                367.0          139994215.0    951164.264681
avg_commit_additions                              float64  119967                           3231.275309                  0.0                  0.0                  0.0                 85.0           22017106.0     96402.575865
commit_deletions                                  float64  119967                          26011.476298                  0.0                  0.0                  0.0                175.0          131070199.0    678980.839137
avg_commit_deletions                              float64  119967                           2246.121313                  0.0                  0.0                  0.0                 40.0           13497417.0     69421.314729
commit_changes_total                              float64  119967                          64738.900148                  0.0                  0.0                  0.0                594.0          211816561.0   1534362.605421
avg_commit_changes_total                          float64  119967                           5477.396622                  0.0                  0.0                  0.0                136.0           27872245.0    143946.953763
commit_files_changed_count                        float64  119967                            406.683546                  0.0                  0.0                  0.0                 32.0            1561867.0      8007.600495
avg_commit_files_changed_count                    float64  119967                             30.087201                  0.0                  0.0                  0.0                  7.5              36258.5       367.948868
pr_commits                                        float64  119967                              8.743079                  0.0                  0.0                  0.0                  2.0               5849.0        63.500418
avg_pr_commits                                    float64  119967                              0.775973                  0.0                  0.0                  0.0                  0.5                193.0         3.249176
pr_commit_additions                               float64  119967                           20468.14048                  0.0                  0.0                  0.0                 34.0          139366446.0    721237.795096
avg_pr_commit_additions                           float64  119967                            874.518431                  0.0                  0.0                  0.0             6.666667            4795369.5      26385.15322
pr_commit_deletions                               float64  119967                          12580.300674                  0.0                  0.0                  0.0                 13.0           99743422.0    505026.664801
avg_pr_commit_deletions                           float64  119967                            537.896914                  0.0                  0.0                  0.0                  2.5            3090934.0     16133.059827
pr_commit_changes_total                           float64  119967                          33048.441155                  0.0                  0.0                  0.0                 53.0          210725330.0   1155722.675237
avg_pr_commit_changes_total                       float64  119967                           1412.415345                  0.0                  0.0                  0.0            10.362782            5953259.5     37778.302033
pr_commit_files_changed_count                     float64  119967                            181.182425                  0.0                  0.0                  0.0                  5.0            1550253.0       5939.64629
avg_pr_commit_files_changed_count                 float64  119967                              7.409534                  0.0                  0.0                  0.0                  1.0              36258.5        146.49543
push_commits                                      float64  119967                             17.545775                  0.0                  0.0                  0.0                  9.0               7832.0        82.451128
avg_push_commits                                  float64  119967                              3.498099                  0.0                  0.0                  0.0                  2.0                829.0        14.342605
push_commit_additions                             float64  119967                           18259.28337                  0.0                  0.0                  0.0                150.0           66703072.0     455772.81937
avg_push_commit_additions                         float64  119967                           2356.756877                  0.0                  0.0                  0.0            35.080128           22017106.0     88374.132036
push_commit_deletions                             float64  119967                          13431.175623                  0.0                  0.0                  0.0                 66.0           31326777.0    321264.921266
avg_push_commit_deletions                         float64  119967                           1708.224399                  0.0                  0.0                  0.0            15.666667           13497417.0     66408.507146
push_commit_changes_total                         float64  119967                          31690.458993                  0.0                  0.0                  0.0                241.0           67139925.0    734182.668771
avg_push_commit_changes_total                     float64  119967                           4064.981276                  0.0                  0.0                  0.0                 56.0           27872245.0    134442.696286
push_commit_files_changed_count                   float64  119967                            225.501121                  0.0                  0.0                  0.0                 18.0             536273.0      4559.614699
avg_push_commit_files_changed_count               float64  119967                             22.677667                  0.0                  0.0                  0.0             4.071429         35751.533333       324.018297
commits_lt100                                     float64  119967                             25.616228                  0.0                  0.0                  1.0                 13.0               7607.0       122.141046
avg_commits_lt100                                 float64  119967                              4.218051                  0.0                  0.0             0.142857                  3.0                823.0        15.179521
commit_additions_lt100                            float64  119967                           7829.030817                  0.0                  0.0                  0.0                350.0           35171357.0     144638.75768
avg_commit_additions_lt100                        float64  119967                           1343.631669                  0.0                  0.0                  0.0                 79.0            5761519.0     33038.558302
commit_deletions_lt100                            float64  119967                           5394.875549                  0.0                  0.0                  0.0                165.0           35946743.0    135531.572866
avg_commit_deletions_lt100                        float64  119967                            868.263783                  0.0                  0.0                  0.0                 37.0            5763474.0     25189.677096
commit_changes_total_lt100                        float64  119967                          13223.906366                  0.0                  0.0                  0.0                563.0           71118100.0    271375.192483
avg_commit_changes_total_lt100                    float64  119967                           2211.895452                  0.0                  0.0                  0.0           126.436508           11524993.0     54434.679351
commit_files_changed_count_lt100                  float64  119967                            109.307826                  0.0                  0.0                  0.0                 31.0             123478.0       787.946831
avg_commit_files_changed_count_lt100              float64  119967                             14.360031                  0.0                  0.0                  0.0                  7.0          7263.411765        68.470873
push_commits_lt100                                float64  119967                             17.169755                  0.0                  0.0                  0.0                  9.0               7607.0        79.895792
avg_push_commits_lt100                            float64  119967                              3.457323                  0.0                  0.0                  0.0                  2.0                822.0          14.1492
push_commit_additions_lt100                       float64  119967                           4949.763677                  0.0                  0.0                  0.0                144.0           25701550.0    107777.665248
avg_push_commit_additions_lt100                   float64  119967                           1011.777738                  0.0                  0.0                  0.0            33.281155            5761519.0     28112.663689
push_commit_deletions_lt100                       float64  119967                           3399.964799                  0.0                  0.0                  0.0                 63.0           23737846.0     98736.329084
avg_push_commit_deletions_lt100                   float64  119967                            655.703416                  0.0                  0.0                  0.0                 14.8            5763474.0     22729.406039
push_commit_changes_total_lt100                   float64  119967                           8349.728475                  0.0                  0.0                  0.0                232.0           49439396.0    200198.311577
avg_push_commit_changes_total_lt100               float64  119967                           1667.481154                  0.0                  0.0                  0.0            52.692941           11524993.0     47782.363771
push_commit_files_changed_count_lt100             float64  119967                             72.306743                  0.0                  0.0                  0.0                 17.0             123478.0       623.325617
avg_push_commit_files_changed_count_lt100         float64  119967                             11.217032                  0.0                  0.0                  0.0                  4.0          7263.411765         64.05613
pr_commits_lt100                                  float64  119967                              8.446473                  0.0                  0.0                  0.0                  2.0               5844.0        60.800434
avg_pr_commits_lt100                              float64  119967                              0.760728                  0.0                  0.0                  0.0                  0.5                179.0         3.154436
pr_commit_additions_lt100                         float64  119967                            2879.26714                  0.0                  0.0                  0.0                 33.0            9469807.0     55743.962193
avg_pr_commit_additions_lt100                     float64  119967                             331.85393                  0.0                  0.0                  0.0                6.375            2694249.0     13434.558093
pr_commit_deletions_lt100                         float64  119967                            1994.91075                  0.0                  0.0                  0.0                 12.0           12208897.0     50648.007039
avg_pr_commit_deletions_lt100                     float64  119967                            212.560367                  0.0                  0.0                  0.0             2.333333            2235485.0      9178.864245
pr_commit_changes_total_lt100                     float64  119967                           4874.177891                  0.0                  0.0                  0.0                 51.0           21678704.0     99437.026557
avg_pr_commit_changes_total_lt100                 float64  119967                            544.414298                  0.0                  0.0                  0.0                 10.0            4471080.0     21345.110462
pr_commit_files_changed_count_lt100               float64  119967                             37.001084                  0.0                  0.0                  0.0                  5.0              28775.0         304.6223
avg_pr_commit_files_changed_count_lt100           float64  119967                              3.142999                  0.0                  0.0                  0.0                  1.0               1165.0        16.057999
comments                                          float64  119967                             64.503072                  0.0                  0.0                  1.0                 14.0              87677.0       875.399325
avg_comments                                      float64  119967                               3.04459                  0.0                  0.0                 0.75             3.204692           832.024691         9.257383
issue_comments                                    float64  119967                             31.099152                  0.0                  0.0                  0.0                  8.0              26854.0       282.337436
avg_issue_comments                                float64  119967                              1.742298                  0.0                  0.0                  0.0                  2.0           485.428571         5.282253
pr_comments                                       float64  119967                             33.403919                  0.0                  0.0                  0.0                  5.0              87646.0       731.594642
avg_pr_comments                                   float64  119967                              1.302292                  0.0                  0.0                  0.0                  1.0           832.012346         6.433158
own_issue_comments                                float64  119967                              8.310852                  0.0                  0.0                  0.0                  2.0               7408.0        70.905448
avg_own_issue_comments                            float64  119967                              0.413509                  0.0                  0.0                  0.0             0.358059           484.142857         2.274073
helping_issue_comments                            float64  119967                               22.7883                  0.0                  0.0                  0.0                  5.0              20550.0       217.434014
avg_helping_issue_comments                        float64  119967                              1.328789                  0.0                  0.0                  0.0             1.333333                220.0         4.150358
own_pr_comments                                   float64  119967                              8.786375                  0.0                  0.0                  0.0                  1.0              10540.0       114.652628
avg_own_pr_comments                               float64  119967                              0.364869                  0.0                  0.0                  0.0             0.166667           124.444444         1.660988
helping_pr_comments                               float64  119967                             24.617545                  0.0                  0.0                  0.0                  3.0              78292.0       638.391428
avg_helping_pr_comments                           float64  119967                              0.937423                  0.0                  0.0                  0.0                 0.75           789.765432         5.559869
linked_pr_issue_comments                          float64  119967                             36.517317                  0.0                  0.0                  0.0                  4.0              68779.0       671.831982
avg_linked_pr_issue_comments                      float64  119967                              1.268957                  0.0                  0.0                  0.0                  1.0           691.234568         5.858675
issues_opened                                     float64  119967                             18.123042                  0.0                  0.0                  0.0                  5.0              13087.0       160.060589
avg_issues_opened                                 float64  119967                              1.050035                  0.0                  0.0                  0.0                 1.25                159.0         2.706419
issues_opened_with_linked_pr                      float64  119967                             17.306418                  0.0                  0.0                  0.0                  3.0              26849.0        244.93152
avg_issues_opened_with_linked_pr                  float64  119967                              0.716632                  0.0                  0.0                  0.0             0.714286           149.666667         2.427598
pr_reviews                                        float64  119967                              9.214309                  0.0                  0.0                  0.0                  0.0              25477.0       230.625897
avg_pr_reviews                                    float64  119967                               0.45765                  0.0                  0.0                  0.0                  0.0           329.285714         3.919389
pr_review_comments                                float64  119967                              20.34697                  0.0                  0.0                  0.0                  0.0              21610.0       297.005603
avg_pr_review_comments                            float64  119967                              0.734502                  0.0                  0.0                  0.0                  0.0                322.0         4.462752
prs_merged                                        float64  119967                               8.40497                  0.0                  0.0                  0.0                  3.0               5540.0        61.965511
avg_prs_merged                                    float64  119967                              0.852866                  0.0                  0.0                  0.0             0.636364                219.0         3.048829
issues_closed                                     float64  119967                              7.267599                  0.0                  0.0                  0.0                  2.0               3489.0        51.809374
avg_issues_closed                                 float64  119967                              0.633514                  0.0                  0.0                  0.0             0.555556                151.0         2.230058
contributor_count                                 float64  119967                              7.350646                  0.0                  0.0                  1.0                  4.0               5256.0        52.814974
cc_prs_opened                                     float64  119967                              1.312403                  0.0                  0.0                  0.0                  1.0                613.0         6.218469
cc_commits                                        float64  119967                              1.868464                  0.0                  0.0                  1.0                  2.0                672.0         7.994258
