File: drive/output/derived/project_outcomes/project_outcomes_major_months3_unimp.parquet

MD5 hash: 65106f20ead2a684a2d4f5f14989c857

Keys: repo_name time_period 

                                                     type   count unique                           mean                  min                  25%                  50%                  75%                  max              std
repo_name                                          object  204120   6191                                                                                                                                                         
time_period                                datetime64[ns]  204120         2021-06-30 11:55:42.645502720  2015-01-01 00:00:00  2018-04-01 00:00:00  2020-07-01 00:00:00  2022-07-01 00:00:00  2061-01-01 00:00:00                 
avg_pr_commits_lt100                              float64  204120                              0.243776                  0.0                  0.0                  0.0                  0.0                 98.0         1.238109
pr_commit_additions_lt100                         float64  204120                            550.394876                  0.0                  0.0                  0.0                  0.0           13337782.0     36938.080218
avg_pr_commit_additions_lt100                     float64  204120                             65.274908                  0.0                  0.0                  0.0                  0.0       1481975.777778      3926.449854
pr_commit_deletions_lt100                         float64  204120                            314.103434                  0.0                  0.0                  0.0                  0.0            3348722.0     16428.530375
avg_pr_commit_deletions_lt100                     float64  204120                             36.471984                  0.0                  0.0                  0.0                  0.0             421839.0      1669.790613
pr_commit_changes_total_lt100                     float64  204120                             864.49831                  0.0                  0.0                  0.0                  0.0           13337844.0     47512.414445
avg_pr_commit_changes_total_lt100                 float64  204120                            101.746892                  0.0                  0.0                  0.0                  0.0       1481982.666667      4807.275551
pr_commit_files_changed_count_lt100               float64  204120                              5.152548                  0.0                  0.0                  0.0                  0.0               7025.0        51.630882
avg_pr_commit_files_changed_count_lt100           float64  204120                              0.774741                  0.0                  0.0                  0.0                  0.0                570.0         5.721762
comments                                          float64  204120                             10.627861                  0.0                  0.0                  0.0                  2.0               8425.0       100.186896
avg_comments                                      float64  204120                              0.966682                  0.0                  0.0                  0.0                  1.0          1128.666667         3.891511
issue_comments                                    float64  204120                              6.779218                  0.0                  0.0                  0.0                  1.0               7267.0        68.919992
avg_issue_comments                                float64  204120                               0.53961                  0.0                  0.0                  0.0             0.666667          1128.333333          2.97547
pr_comments                                       float64  204120                              3.848643                  0.0                  0.0                  0.0                  0.0               3855.0        44.716693
avg_pr_comments                                   float64  204120                              0.427072                  0.0                  0.0                  0.0                  0.0               131.25         2.025157
own_issue_comments                                float64  204120                              3.323305                  0.0                  0.0                  0.0                  0.0               3654.0        33.310359
avg_own_issue_comments                            float64  204120                              0.271236                  0.0                  0.0                  0.0                  0.0          1128.333333          2.64258
helping_issue_comments                            float64  204120                              3.455913                  0.0                  0.0                  0.0                  0.0               3613.0        37.716529
avg_helping_issue_comments                        float64  204120                              0.268374                  0.0                  0.0                  0.0                  0.0                 81.0          1.16264
own_pr_comments                                   float64  204120                              2.308397                  0.0                  0.0                  0.0                  0.0               2698.0        29.538357
avg_own_pr_comments                               float64  204120                              0.226663                  0.0                  0.0                  0.0                  0.0                128.0         1.376848
helping_pr_comments                               float64  204120                              1.540246                  0.0                  0.0                  0.0                  0.0               2061.0        17.542537
avg_helping_pr_comments                           float64  204120                              0.200409                  0.0                  0.0                  0.0                  0.0           104.857143          1.23815
linked_pr_issue_comments                          float64  204120                               5.35196                  0.0                  0.0                  0.0                  0.0               4426.0        56.490753
avg_linked_pr_issue_comments                      float64  204120                              0.445661                  0.0                  0.0                  0.0                  0.0               141.75         2.018853
issues_opened                                     float64  204120                              4.077876                  0.0                  0.0                  0.0                  1.0               4154.0        41.796771
avg_issues_opened                                 float64  204120                              0.332883                  0.0                  0.0                  0.0                  0.5                 72.0         0.926176
issues_opened_with_linked_pr                      float64  204120                              2.903444                  0.0                  0.0                  0.0                  0.0               2559.0        29.524395
avg_issues_opened_with_linked_pr                  float64  204120                              0.280811                  0.0                  0.0                  0.0                  0.0                100.0          1.38151
pr_reviews                                        float64  204120                              1.187914                  0.0                  0.0                  0.0                  0.0               4352.0        26.997329
avg_pr_reviews                                    float64  204120                              0.143791                  0.0                  0.0                  0.0                  0.0                160.0         1.728318
pr_review_comments                                float64  204120                              2.691691                  0.0                  0.0                  0.0                  0.0               3067.0        38.077959
avg_pr_review_comments                            float64  204120                              0.231978                  0.0                  0.0                  0.0                  0.0           253.333333         1.999683
prs_merged                                        float64  204120                              0.441422                  0.0                  0.0                  0.0                  0.0                510.0         4.931373
avg_prs_merged                                    float64  204120                              0.121741                  0.0                  0.0                  0.0                  0.0           100.333333         1.108393
issues_closed                                     float64  204120                              0.700064                  0.0                  0.0                  0.0                  0.0                703.0         6.603824
avg_issues_closed                                 float64  204120                              0.093852                  0.0                  0.0                  0.0                  0.0                 76.0         0.677787
contributor_count                                 float64  204120                              3.980614                  0.0                  0.0                  0.0                  2.0               3307.0        36.089673
cc_prs_opened                                     float64  204120                              0.551597                  0.0                  0.0                  0.0                  0.0                332.0         3.603444
cc_commits                                        float64  204120                              0.728483                  0.0                  0.0                  0.0                  0.0                371.0         4.610185
cc_commit_additions                               float64  204120                              0.708916                  0.0                  0.0                  0.0                  0.0                369.0         4.558675
cc_commit_deletions                               float64  204120                              0.647021                  0.0                  0.0                  0.0                  0.0                321.0         4.145075
cc_commit_changes_total                           float64  204120                              0.715942                  0.0                  0.0                  0.0                  0.0                371.0         4.603275
