pc_score_subset,pattern,rank,att_doubly_robust_mean,count
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,NA-NA-NA,4,121.725385552226,6
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,NA-NA-low,11,-198.6313613939,2
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,NA-high-high,13,-319.809095015761,1
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,NA-high-low,8,5.99947861017874,2
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,NA-low-low,5,49.2233922786828,2
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,high-high-high,1,222.474496825854,81
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,high-high-low,3,178.159764844954,85
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,high-low-high,10,-180.822335035667,66
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,high-low-low,6,16.8048711436108,55
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,low-high-high,12,-209.091173224121,43
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,low-high-low,9,-175.713032021147,77
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,low-low-high,2,195.002462832518,89
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,low-low-low,7,11.835959721399,78
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,NA-NA-high,1,969.623749643877,6
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,NA-NA-low,13,-2742.32645366885,2
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,NA-high-high,5,94.133594593549,1
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,NA-high-low,11,-200.971866194476,2
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,NA-low-low,6,49.2233922786828,2
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,high-high-high,2,264.323725423702,81
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,high-high-low,4,139.293605364402,85
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,high-low-high,10,-103.414132052912,69
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,high-low-low,9,-74.5082901500872,52
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,low-high-high,12,-467.10289142283,44
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,low-high-low,8,-25.8986406797503,76
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,low-low-high,3,185.881208214713,92
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,low-low-low,7,15.6980385947957,75
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,3,150.39423970765,89
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,8,-42.7246216162876,50
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,9,-109.521421913041,45
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,6,-11.3832199913689,109
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-NA-high,1,1157.63337068131,5
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-NA-low,10,-5057.8145400932,1
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,7,-42.2967840777942,104
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,2,196.774569456904,37
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,4,130.305937374563,50
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,5,26.1916417114469,97
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,NA-low-NA,3,121.725385552226,6
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,NA-low-low,10,-198.6313613939,2
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,2,124.954512886985,75
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,9,-107.081225116672,96
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,7,-13.2376753456537,50
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,1,170.885766539001,68
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,6,29.3323091662897,64
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,4,70.9138421181182,58
