pc_score_subset,pc_score_label,att_high,att_others_wavg,difference,difference_p_value,difference_ci_lower,difference_ci_upper,count_high
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,Collaboration $\times$ Discussion quality $\times$ Investment in new talent,-7.40788901338014,-6.47476049453823,-0.933128518841915,0.978964311771259,-70.6470386021304,68.7807815644466,92
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,Collaboration $\times$ Discussion quality $\times$ Problem-solving routines,-11.6957757785545,-5.70603308453829,-5.98974269401617,0.867896602629122,-76.9562319950045,64.9767466069722,88
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,Collaboration $\times$ Investment in new talent $\times$ Problem-solving routines,-39.0628102410818,0.553557271221481,-39.6163675123032,0.361843467187225,-125.170827270526,45.93809224592,104
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,Collaboration $\times$ Knowledge level $\times$ Discussion quality,-2.74010472983455,-7.59749085766326,4.85738612782871,0.871511685565631,-54.158827794011,63.8736000496684,115
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,Collaboration $\times$ Knowledge level $\times$ Investment in new talent,14.7740719684942,-10.1400814950232,24.9141534635174,0.567440163881468,-61.0950393157426,110.923346242777,81
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,Collaboration $\times$ Knowledge level $\times$ Problem-solving routines,7.0381239741675,-8.8690636703975,15.907187644565,0.723695966793527,-72.977821212873,104.792196502003,81
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,Discussion quality $\times$ Investment in new talent $\times$ Problem-solving routines,-52.0949400298947,1.71977178363345,-53.8147118135282,0.255265719868884,-147.002664346989,39.3732407199329,89
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,Knowledge level $\times$ Discussion quality $\times$ Investment in new talent,-58.5738418882384,1.18372303410717,-59.7575649223456,0.25373200351739,-163.053564751335,43.5384349066436,75
knowledge_level_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,Knowledge level $\times$ Discussion quality $\times$ Problem-solving routines,-63.4701852066603,1.65860912672215,-65.1287943333825,0.219612838184265,-169.769508590434,39.511919923669,73
knowledge_level_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,Knowledge level $\times$ Investment in new talent $\times$ Problem-solving routines,-66.5612346422204,3.22332587915101,-69.7845605213714,0.202455617883626,-177.682875888808,38.1137548460653,81
