pc_score_subset,att_high,att_others_wavg,difference,count_high
collaboration_pc_score x shared_knowledge_pc_score,-592.0235341888467,-79.92860040758718,-512.0949337812596,143
shared_knowledge_pc_score x discussion_quality_pc_score,-665.851875582011,-57.62498507615331,-608.2268905058577,138
collaboration_pc_score x discussion_quality_pc_score,-777.7294503757636,10.56823773870798,-788.2976881144716,148
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,-851.4781045289003,-21.55020942412314,-829.9278951047771,122
shared_knowledge_pc_score x investment_in_new_talent_pc_score,-902.7219954809301,-51.63402165954251,-851.0879738213875,102
collaboration_pc_score x investment_in_new_talent_pc_score,-984.1375484412114,26.480713534753534,-1010.618261975965,123
collaboration_pc_score x problem_solving_routines_pc_score,-1098.0738232030574,-30.001505950857876,-1068.0723172521996,91
discussion_quality_pc_score x investment_in_new_talent_pc_score,-1109.6659008400127,25.224472952020058,-1134.8903737920327,109
shared_knowledge_pc_score x problem_solving_routines_pc_score,-1358.1392328976365,-27.322661310189254,-1330.8165715874472,74
discussion_quality_pc_score x problem_solving_routines_pc_score,-1539.0597780150335,-31.47951426298027,-1507.5802637520533,64
