pc_score_subset,pattern,rank,att_dr_mean,count
shared_knowledge_pc_score x problem_solving_routines_pc_score,high-low,1,109.19035938574363,166
shared_knowledge_pc_score x discussion_quality_pc_score,high-low,1,93.24367896005725,102
discussion_quality_pc_score x problem_solving_routines_pc_score,low-low,1,91.07310693303975,151
collaboration_pc_score x investment_in_new_talent_pc_score,high-low,1,75.96578156656999,117
shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-low,1,70.2966663961102,138
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low,1,51.60408123115236,226
discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low,1,47.18146504349756,126
collaboration_pc_score x problem_solving_routines_pc_score,low-low,1,38.689249281509895,178
collaboration_pc_score x discussion_quality_pc_score,high-low,1,31.98952870252971,92
discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low,2,25.58931694898427,131
collaboration_pc_score x shared_knowledge_pc_score,low-high,1,23.532596006323686,97
collaboration_pc_score x discussion_quality_pc_score,low-low,2,20.69623178547135,148
collaboration_pc_score x investment_in_new_talent_pc_score,low-low,2,2.92191908934959,140
collaboration_pc_score x investment_in_new_talent_pc_score,low-high,3,1.5654961610938125,100
discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high,3,0.5369679772088427,114
shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-low,2,-3.393906276181325,119
collaboration_pc_score x shared_knowledge_pc_score,low-low,2,-12.007297370594909,143
shared_knowledge_pc_score x discussion_quality_pc_score,low-low,2,-25.396929775676327,138
collaboration_pc_score x discussion_quality_pc_score,low-high,3,-27.14591321338526,92
shared_knowledge_pc_score x problem_solving_routines_pc_score,low-high,2,-72.7023134246018,79
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high,2,-76.30507233686451,31
collaboration_pc_score x problem_solving_routines_pc_score,high-low,2,-82.12217519128885,149
discussion_quality_pc_score x problem_solving_routines_pc_score,low-high,2,-87.0332606967023,89
collaboration_pc_score x problem_solving_routines_pc_score,low-high,3,-101.95271102403933,62
discussion_quality_pc_score x problem_solving_routines_pc_score,high-low,3,-108.53157317205846,176
shared_knowledge_pc_score x problem_solving_routines_pc_score,low-low,3,-145.8081825430232,161
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low,3,-168.43604049142294,101
shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-high,3,-238.13822564549338,121
shared_knowledge_pc_score x discussion_quality_pc_score,low-high,3,-252.09631216595034,102
collaboration_pc_score x shared_knowledge_pc_score,high-low,3,-283.5212023296413,97
collaboration_pc_score x shared_knowledge_pc_score,high-high,4,-592.0235341888467,143
shared_knowledge_pc_score x discussion_quality_pc_score,high-high,4,-665.851875582011,138
collaboration_pc_score x discussion_quality_pc_score,high-high,4,-777.7294503757636,148
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high,4,-851.4781045289003,122
shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-high,4,-902.7219954809301,102
collaboration_pc_score x investment_in_new_talent_pc_score,high-high,4,-984.1375484412114,123
collaboration_pc_score x problem_solving_routines_pc_score,high-high,4,-1098.0738232030574,91
discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high,4,-1109.6659008400127,109
shared_knowledge_pc_score x problem_solving_routines_pc_score,high-high,4,-1358.1392328976365,74
discussion_quality_pc_score x problem_solving_routines_pc_score,high-high,4,-1539.0597780150335,64
