pc_score_subset,pattern,rank,att_doubly_robust_mean,count
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,7,-4.07651090923114,91
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,2,2.32729011107723,88
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,1,6.27079996915637,54
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,3,2.27384701368149,52
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,5,-2.89280839153497,47
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,8,-10.4208011462271,64
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,4,2.06370908645112,84
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,6,-3.99076809352969,90
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,7,-4.30714159680572,88
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,3,2.33920326982051,91
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,2,2.93781737229838,61
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,1,6.17014185190401,45
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-high,8,-14.9354257117814,44
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,6,-2.17514233495965,67
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,4,-0.909678815515204,91
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,5,-1.24140714390234,83
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,7,-2.5945836209268,104
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,1,5.7926195651414,41
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,3,1.55589101705966,45
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,2,2.66343661808999,95
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,5,0.176469577171196,89
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,4,0.516280392655098,42
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,8,-16.4270716499674,46
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,6,-2.50421394331208,108
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,high-high-high,3,-0.825586877354414,116
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,high-high-low,1,10.067651395525,51
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,high-low-high,5,-1.11734738400199,63
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,high-low-low,4,-1.02885414774352,55
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,low-high-high,7,-4.59439551767336,54
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,low-high-low,6,-3.35036121943967,63
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,low-low-high,8,-9.73326157554941,57
