event_time,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimate,sd,ci_low,ci_high
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,mean_has_reviewer,1,0.741975092984938,0.403153747602453,-0.0482062523158704,1.53215643828575
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,mean_has_tag,0,0.468902866816266,0.321403312889431,-0.161047626447019,1.09885336007955
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,mean_has_tag,1,0.0733983908482096,0.326681565506468,-0.566897477544469,0.713694259240888
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,neg_sentiment_avg,0,-0.161886722552262,0.248224652699026,-0.648407041842352,0.324633596737829
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,neg_sentiment_avg,1,0.302437876744734,0.329170411276234,-0.342736129356684,0.947611882846152
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,ov_sentiment_avg,0,0.384773834833988,0.328651959874779,-0.25938400652058,1.02893167618856
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,ov_sentiment_avg,1,-0.00970863745325055,0.358502256662805,-0.712373060512348,0.692955785605846
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,pct_members_multiple,0,0.315593265646394,0.296506312983846,-0.265559107801944,0.896745639094732
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,pct_merged_with_approved,0,-0.181513414552278,0.259119113074758,-0.689386876178804,0.326360047074247
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,pct_merged_with_approved,1,0.457134623701964,0.360036897625267,-0.248537695643559,1.16280694304749
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,pct_merged_with_review,0,-0.0363980706828424,0.303019722941684,-0.630316727648542,0.557520586282857
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,pct_merged_with_review,1,0.358234006479264,0.332657779445715,-0.293775241234337,1.01024325419286
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,pos_sentiment_avg,0,-0.024994425606225,0.319065698578635,-0.650363194820349,0.600374343607899
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,pos_sentiment_avg,1,0.350364129377781,0.369329086194191,-0.373520879562834,1.0742491383184
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_hhi_discussion_comment,0,-0.183935144534846,0.274477606651982,-0.72191125357273,0.354040964503038
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_hhi_discussion_comment,1,0.201190690262076,0.303037393191993,-0.39276260039423,0.795143980918383
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_hhi_pull_request_review_comment,0,-0.0653189704529456,0.343326663505576,-0.738239230923875,0.607601290017984
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_hhi_pull_request_review_comment,1,0.842102953641743,0.321397499333513,0.212163854948058,1.47204205233543
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_prob_hhi_issue_comment,0,0.163481552295352,0.378816125734232,-0.578998054143742,0.905961158734446
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_prob_hhi_issue_comment,1,0.0979088074298284,0.318117499596376,-0.525601491779068,0.721419106638725
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_prob_hhi_pull_request_comment,0,0.0357341542992608,0.292767434982706,-0.538090018266842,0.609558326865364
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_prob_hhi_pull_request_comment,1,0.220406226831968,0.324697421145127,-0.416000718612481,0.856813172276416
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_prob_hhi_pull_request_review,0,0.352322973643975,0.386165527997964,-0.404561461232034,1.10920740851998
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_prob_hhi_pull_request_review,1,0.188730723202394,0.31000731953587,-0.418883623087911,0.796345069492698
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_prob_hhi_pull_request_review_comment,0,-0.0903322645968213,0.411244850897852,-0.896372172356611,0.715707643162969
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,proj_prob_hhi_pull_request_review_comment,1,0.639101538859707,0.299178305213086,0.0527120606420587,1.22549101707736
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,pull_request_merged_rate_weighted,0,-0.101092701073238,0.255343097115848,-0.601565171420301,0.399379769273824
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,pull_request_merged_rate_weighted,1,0.664211714186493,0.474520909701356,-0.265849268828164,1.59427269720115
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,pull_request_review_rate_weighted,0,-0.177279017642928,0.24024920166104,-0.648167452898566,0.29360941761271
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,response_rate,0,0.247111301295351,0.275444456584054,-0.292759833609395,0.786982436200097
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,response_rate,1,-0.449090629941502,0.329084532413023,-1.09409631347103,0.195915053588024
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,share_issue_and_pr,0,-0.0805658698865951,0.286803948462467,-0.642701608873031,0.481569869099841
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,share_issue_and_pr,1,0.63325766716369,0.326068574020685,-0.00583673791685335,1.27235207224423
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,share_issue_only,0,0.824485260349516,0.336919812323171,0.164122428196101,1.48484809250293
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,share_issue_only,1,-0.363595042759566,0.284086886192131,-0.920405339696142,0.19321525417701
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,share_pr_only,0,-0.299108365707732,0.289004867982147,-0.865557906952739,0.267341175537276
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,share_pr_only,1,0.711374872273916,0.366873777404827,-0.00769773143954577,1.43044747598738
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,text_sim_ratio,0,0.968627496145021,0.463763157828854,0.0596517068004676,1.87760328548958
-18,important_thresh,rolling5,downstream_outcomes,major_minor_release_count,TRUE,sa,text_sim_ratio,1,-0.251750408114259,0.245358724964615,-0.732653509044904,0.229152692816388
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,"","",0.460018818242451,0.229180370689019,0.0108252916919751,0.909212344792928
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,any_activity_rate_weighted,0,0.0172940594016574,0.358436946476676,-0.685242355692628,0.719830474495943
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,any_activity_rate_weighted,1,0.748896780470543,0.354703752960548,0.0536774246678683,1.44411613627322
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,avg_all_disc_count,0,0.547228566323548,0.362745145188784,-0.163751918246468,1.25820905089356
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,avg_all_disc_count,1,0.390707519857157,0.286983622564005,-0.171780380368292,0.953195420082606
-18,important_thresh,rolling5,downstream_outcomes,overall_new_release_count,TRUE,sa,avg_all_disc_exclude_opener_count,0,0.650252601901779,0.353149597641759,-0.0419206094760677,1.34242581327963
